pid,block,delays,score,state_rewards,trial_index,trial_time,clicks,n_clicks,stim_i
0,training,[],48.0,"[u'', 4, 8, -24, 48, 2, 8, -48, -48, 2, -4, 24, -48]",0,24250.0,"[8, 5, 6, 7, 9, 10, 11, 12, 1, 2, 4, 3]",12,0
0,training,[],38.0,"[u'', -2, 4, 48, 24, -4, 8, -48, 24, 4, -8, 24, 24]",1,14768.0,"[5, 9, 1, 10, 2, 4, 3, 11, 12, 7, 8, 6]",12,1
0,training,[],36.0,"[u'', -4, 4, -24, -24, -4, -8, 24, -24, 4, -8, 48, -48]",2,15380.0,"[9, 2, 3, 4, 11, 12, 7, 8]",8,2
0,training,[],16.0,"[u'', 2, -4, 24, 24, -4, 4, -24, -24, -2, 4, -24, -48]",3,11942.0,"[7, 8, 11, 12, 4, 3]",6,3
0,training,[],44.0,"[u'', -4, 8, 48, -24, -2, -4, 24, -48, 4, 4, 48, -48]",4,20335.0,"[3, 4, 11, 12, 7, 8, 2, 10]",8,4
0,training,[],26.0,"[u'', -4, -4, -48, -48, -2, -8, 24, 48, 2, 4, -24, -48]",5,14941.0,"[7, 8, 3, 4, 11, 12, 10, 9, 6, 5, 1, 2]",12,5
0,training,[],32.0,"[u'', -2, 8, 24, -48, 2, 4, -24, 24, -2, -8, 48, -24]",6,11444.0,"[3, 4, 11, 12, 7, 8]",6,6
0,training,[],44.0,"[u'', 2, -4, 24, -24, -2, 8, 24, 48, 4, -4, 48, 48]",7,12152.0,"[3, 4, 11, 12, 7, 8, 6, 10, 5, 9]",10,7
0,training,[],42.0,"[u'', -4, 4, 24, 24, 2, 8, -24, 24, -4, 4, -24, 48]",8,7907.0,"[3, 4, 11, 12, 7, 8]",6,8
0,training,[],52.0,"[u'', 2, 8, 48, -24, -4, -4, -48, 24, -4, -8, -48, -24]",9,8607.0,"[3, 4, 12, 11, 7, 8]",6,9
0,test,[],30.0,"[u'', 4, 8, -24, -24, -4, -8, -48, 48, 2, -8, -24, -48]",10,9639.0,"[3, 4, 11, 12, 7, 8]",6,10
0,test,[],24.0,"[u'', 2, 4, -24, 24, 4, 8, -48, -48, -4, -4, -48, -24]",11,9979.0,"[3, 4, 11, 12, 7, 8]",6,11
0,test,[],18.0,"[u'', 2, 8, -48, -24, 2, 8, -24, -48, 4, -4, 24, -48]",12,9519.0,"[12, 11, 4, 3, 7, 8]",6,12
0,test,[],48.0,"[u'', -4, -8, 24, -24, -2, 8, 24, 48, 4, -4, 24, -48]",13,9703.0,"[3, 4, 11, 12, 7, 8]",6,13
