wid,startTime,inspectCostTraining,train_height,inspectCostTransfer,feedback,bonus,completed,previously_participated,n_quiz,instruct_time,total_time
w9ab0dc2,Wed Jan 27 2021 14:38:39 GMT-0500 (Eastern Standard Time),1,3,3,action,0.79,True,No,1,[61988],12.077133333333334
w8de7b16,Wed Jan 27 2021 12:49:58 GMT-0600 (Central Standard Time),1,3,3,meta,0.52,True,No,1,[17861],14.807983333333333
w0200bf7,Wed Jan 27 2021 14:13:08 GMT-0600 (Central Standard Time),1,3,3,meta,0.63,True,No,1,[98766],11.174616666666667
web72dbc,Wed Jan 27 2021 14:12:38 GMT-0500 (Eastern Standard Time),1,3,3,meta,0.19,True,No,1,[120917],30.425
wc9e0f99,Wed Jan 27 2021 14:12:07 GMT-0500 (Eastern Standard Time),1,3,3,none,0.52,True,Yes,1,[71840],11.099683333333333
w3b509c1,Wed Jan 27 2021 12:27:33 GMT-0700 (Mountain Standard Time),1,3,3,meta,0.79,True,Not sure,1,[79533],9.780083333333334
w5e72b5a,Wed Jan 27 2021 14:15:10 GMT-0500 (Eastern Standard Time),1,3,3,action,0.72,True,No,1,[155919],11.135666666666667
w3ff0c26,Wed Jan 27 2021 14:26:13 GMT-0500 (Eastern Standard Time),1,3,3,none,0.57,True,No,1,[128504],16.156466666666667
w2b3367b,Wed Jan 27 2021 13:57:19 GMT-0500 (Eastern Standard Time),1,3,3,meta,0.63,True,No,1,[71578],8.58535
wb377de3,Wed Jan 27 2021 11:26:57 GMT-0800 (Pacific Standard Time),1,3,3,none,0.66,True,Not sure,2,"[84490, 7915]",11.651516666666666
w716521d,Wed Jan 27 2021 11:34:42 GMT-0800 (Pacific Standard Time),1,3,3,meta,0.0,False,,1,[68694],
wa4fbbe6,Wed Jan 27 2021 11:11:39 GMT-0800 (Pacific Standard Time),1,3,3,action,0.66,True,No,1,[568409],17.27863333333333
w40f9c3e,Wed Jan 27 2021 13:09:52 GMT-0600 (Central Standard Time),1,3,3,none,0.25,True,No,2,"[170776, 63304]",15.188483333333334
w7a43c66,Wed Jan 27 2021 14:30:37 GMT-0500 (Eastern Standard Time),1,3,3,action,0.67,True,Not sure,1,[58020],13.2587
w5446a8b,Wed Jan 27 2021 13:16:18 GMT-0600 (Central Standard Time),1,3,3,none,0.78,True,No,1,[66000],9.01205
w5b73c55,Wed Jan 27 2021 11:02:33 GMT-0800 (Pacific Standard Time),1,3,3,action,0.36,True,No,1,[47467],9.862583333333333
w6e3ac42,Wed Jan 27 2021 14:07:30 GMT-0500 (Eastern Standard Time),1,3,3,none,0.56,True,No,1,[82556],9.117183333333333
w6cc171c,Wed Jan 27 2021 14:10:33 GMT-0500 (Eastern Standard Time),1,3,3,meta,0.0,False,,1,[59496],
we53a59d,Wed Jan 27 2021 11:13:32 GMT-0800 (Pacific Standard Time),1,3,3,meta,0.67,True,No,1,[91740],14.729316666666668
w1f2fdb1,Wed Jan 27 2021 14:12:03 GMT-0500 (Eastern Standard Time),1,3,3,meta,0.73,True,No,1,[67298],11.380966666666666
w0bba8d9,Wed Jan 27 2021 15:13:39 GMT-0600 (Central Standard Time),1,3,3,none,0.0,True,No,1,[132002],10.337416666666666
wc40aabb,Wed Jan 27 2021 14:29:30 GMT-0500 (Eastern Standard Time),1,3,3,none,0.18,True,No,1,[98361],10.718233333333334
w92ee735,Wed Jan 27 2021 14:17:26 GMT-0500 (EST),1,3,3,none,0.86,True,No,1,[69623],15.349016666666667
w3e1b656,Wed Jan 27 2021 12:22:26 GMT-0700 (Mountain Standard Time),1,3,3,action,0.0,False,,2,"[87875, 33073]",
w9505bbc,Wed Jan 27 2021 14:13:21 GMT-0500 (Eastern Standard Time),1,3,3,none,0.0,True,No,1,[75802],9.598466666666667
w731e942,Wed Jan 27 2021 14:21:43 GMT-0500 (Eastern Standard Time),1,3,3,action,0.25,True,No,1,[64478],12.645166666666666
w5048ab3,Wed Jan 27 2021 14:24:55 GMT-0500 (Eastern Standard Time),1,3,3,meta,0.53,True,No,1,[119930],16.117266666666666
w0fa21b3,Wed Jan 27 2021 14:09:05 GMT-0500 (Eastern Standard Time),1,3,3,none,0.0,False,No,1,[93448],12.36035
wd882f1d,Wed Jan 27 2021 14:28:33 GMT-0500 (Eastern Standard Time),1,3,3,none,0.26,True,No,1,[112841],17.036483333333333
wbf12e00,Wed Jan 27 2021 13:22:58 GMT-0600 (Central Standard Time),1,3,3,none,0.57,True,No,1,[148988],12.889733333333334
w9f5501b,Wed Jan 27 2021 11:53:42 GMT-0600 (Central Standard Time),1,3,3,none,0.98,True,No,1,[98356],9.633433333333333
w2d56206,Wed Jan 27 2021 14:17:11 GMT-0500 (Eastern Standard Time),1,3,3,action,0.63,True,No,2,"[108271, 435421]",41.0622
wcea0ab4,Wed Jan 27 2021 11:38:30 GMT-0800 (Pacific Standard Time),1,3,3,none,0.0,True,No,1,[91763],10.583783333333333
w37336ea,Wed Jan 27 2021 14:39:48 GMT-0500 (Eastern Standard Time),1,3,3,meta,0.53,True,No,1,[164255],13.346316666666667
w65c1aa9,Wed Jan 27 2021 14:14:02 GMT-0500 (Eastern Standard Time),1,3,3,meta,0.56,True,No,1,[72921],11.48095
w904b67a,Wed Jan 27 2021 12:31:01 GMT-0800 (Pacific Standard Time),1,3,3,action,0.73,True,No,1,[50754],8.346833333333333
w636ddc0,Wed Jan 27 2021 14:41:51 GMT-0500 (Eastern Standard Time),1,3,3,none,0.61,True,No,1,[158314],11.224133333333333
w1c102db,Wed Jan 27 2021 12:04:07 GMT-0700 (Mountain Standard Time),1,3,3,meta,0.51,True,No,2,"[86990, 20965]",17.371416666666665
