wid,trial_type,rt,time_elapsed,view_history,questions,correct,responses,stimulus,button_pressed,action_times,trial_index,state_rewards,trial_time,delays,queries,simulation_mode,rewards,block,trial_id,score,prs,path,actions
w1f00ab2,survey-text,10533,539151,,,,"{""Q0"":""25"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w5446a8b,survey-text,4522,540723,,,,"{""Q0"":""41"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wa92380a,survey-text,7704,553418,,,,"{""Q0"":""29"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wd882f1d,survey-text,12524,1022189,,,,"{""Q0"":""30"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wc40aabb,survey-text,12406,643094,,,,"{""Q0"":""66"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w7a43c66,survey-text,6572,795522,,,,"{""Q0"":""35"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w0b2bec7,survey-text,8079,623568,,,,"{""Q0"":""29"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w9798c52,survey-text,11245,939291,,,,"{""Q0"":""48"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w68e5c90,survey-text,9551,1052196,,,,"{""Q0"":""30"",""Q1"":""FEMALE""}",,,,,,,,,,,,,,,,
w96741ec,survey-text,12384,893194,,,,"{""Q0"":""56"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w1ac7f8d,survey-text,7481,470246,,,,"{""Q0"":""45"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w92ee735,survey-text,10277,920941,,,,"{""Q0"":""40"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w886e1a5,survey-text,6213,771046,,,,"{""Q0"":""32"",""Q1"":""F""}",,,,,,,,,,,,,,,,
w299302c,survey-text,7218,525384,,,,"{""Q0"":""29"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w16e71db,survey-text,10170,646471,,,,"{""Q0"":""19"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w7f7b23f,survey-text,6127,544344,,,,"{""Q0"":""30"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wb41a890,survey-text,83624,1813867,,,,"{""Q0"":""37"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w09367fb,survey-text,10883,925291,,,,"{""Q0"":""33"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wd2eb46f,survey-text,12293,885042,,,,"{""Q0"":""55"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w96e028d,survey-text,7387,1105845,,,,"{""Q0"":""28"",""Q1"":""female""}",,,,,,,,,,,,,,,,
we53a59d,survey-text,15154,883759,,,,"{""Q0"":""32"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wfcf1a45,survey-text,6687,595609,,,,"{""Q0"":""35"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wd4ae5d4,survey-text,4159,528184,,,,"{""Q0"":""36"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w61db4a8,survey-text,5247,599237,,,,"{""Q0"":""20"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w7194877,survey-text,10494,610292,,,,"{""Q0"":""61"",""Q1"":""woman""}",,,,,,,,,,,,,,,,
wc1ee984,survey-text,7180,784006,,,,"{""Q0"":""35"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w65dbb51,survey-text,9006,899373,,,,"{""Q0"":""20"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wf966d1f,survey-text,12017,870121,,,,"{""Q0"":""35"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w2ded1c1,survey-text,23298,1284566,,,,"{""Q0"":""57"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w5e8957b,survey-text,10004,1001982,,,,"{""Q0"":""33"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wa6c2fc2,survey-text,9431,709714,,,,"{""Q0"":""40"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w89fd051,survey-text,25786,956917,,,,"{""Q0"":""60"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w76dc24c,survey-text,5840,691223,,,,"{""Q0"":""21"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w0379fb0,survey-text,8354,715595,,,,"{""Q0"":""27"",""Q1"":""Female/woman""}",,,,,,,,,,,,,,,,
w1f3b2cc,survey-text,11886,904904,,,,"{""Q0"":""24"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wdc799a6,survey-text,20670,672306,,,,"{""Q0"":""34"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wf66fa67,survey-text,14366,923005,,,,"{""Q0"":""51"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w7d37077,survey-text,11691,627233,,,,"{""Q0"":""18"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w50da21f,survey-text,7201,955836,,,,"{""Q0"":""21"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w9ab0dc2,survey-text,12172,724628,,,,"{""Q0"":""33"",""Q1"":""female""}",,,,,,,,,,,,,,,,
we4ebd33,survey-text,8411,839086,,,,"{""Q0"":""32"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w4a3c117,survey-text,21130,1617502,,,,"{""Q0"":""54"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wce38384,survey-text,11434,820850,,,,"{""Q0"":""31"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wcea0ab4,survey-text,7752,635027,,,,"{""Q0"":""21"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wcf77647,survey-text,6097,762908,,,,"{""Q0"":""23"",""Q1"":""woman""}",,,,,,,,,,,,,,,,
wea86a17,survey-text,5726,695234,,,,"{""Q0"":""27"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w1d6de38,survey-text,11248,3170704,,,,"{""Q0"":""61"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w97f0f44,survey-text,7852,877763,,,,"{""Q0"":""19"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w8f13279,survey-text,7428,467705,,,,"{""Q0"":""35"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wefa7690,survey-text,15377,895931,,,,"{""Q0"":""56"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wc94919e,survey-text,11705,780502,,,,"{""Q0"":""28"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wa6d46b0,survey-text,9544,644478,,,,"{""Q0"":""24"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wac36cb6,survey-text,5598,585216,,,,"{""Q0"":""20"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wffbf4bc,survey-text,20261,1860477,,,,"{""Q0"":""48"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wb73df1d,survey-text,22327,603301,,,,"{""Q0"":""47"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w5cc6cec,survey-text,7773,700428,,,,"{""Q0"":""24"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w2d56206,survey-text,31738,2463732,,,,"{""Q0"":""45"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w4dfb95f,survey-text,8536,693265,,,,"{""Q0"":""23"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wf90c06d,survey-text,15998,893800,,,,"{""Q0"":""19"",""Q1"":""non-binary""}",,,,,,,,,,,,,,,,
w57a3393,survey-text,6612,855658,,,,"{""Q0"":""28"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w3b6e27c,survey-text,6676,829742,,,,"{""Q0"":""21"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wbcb6a95,survey-text,8762,868503,,,,"{""Q0"":""31"",""Q1"":""FEMALE""}",,,,,,,,,,,,,,,,
w674e4fa,survey-text,12062,705451,,,,"{""Q0"":""43"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w731e942,survey-text,6848,758710,,,,"{""Q0"":""25"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wc8d3c4d,survey-text,17352,856212,,,,"{""Q0"":""35"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w933c4d4,survey-text,9014,631304,,,,"{""Q0"":""45"",""Q1"":""male""}",,,,,,,,,,,,,,,,
we95a1dd,survey-text,5702,1993217,,,,"{""Q0"":""20"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w8afe608,survey-text,41762,1138516,,,,"{""Q0"":""48"",""Q1"":""men""}",,,,,,,,,,,,,,,,
w37336ea,survey-text,6801,800779,,,,"{""Q0"":""26"",""Q1"":""M""}",,,,,,,,,,,,,,,,
wa4fbbe6,survey-text,6744,1036718,,,,"{""Q0"":""33"",""Q1"":""male""}",,,,,,,,,,,,,,,,
wa5b56a0,survey-text,8066,902113,,,,"{""Q0"":""61"",""Q1"":""male""}",,,,,,,,,,,,,,,,
wd1f9fe7,survey-text,15357,1042956,,,,"{""Q0"":""31"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wa23dff7,survey-text,9479,1090967,,,,"{""Q0"":""30"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w636ddc0,survey-text,11761,673448,,,,"{""Q0"":""25"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w9f5501b,survey-text,9006,578006,,,,"{""Q0"":""30"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w2a519fc,survey-text,12255,607662,,,,"{""Q0"":""34"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wb8de019,survey-text,11187,974426,,,,"{""Q0"":""23"",""Q1"":""non-binary""}",,,,,,,,,,,,,,,,
wc28c2ab,survey-text,5196,573208,,,,"{""Q0"":""33"",""Q1"":""f""}",,,,,,,,,,,,,,,,
wb60c517,survey-text,9948,1261930,,,,"{""Q0"":""33"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wc609fcf,survey-text,14549,849690,,,,"{""Q0"":""35"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
we506445,survey-text,8947,833408,,,,"{""Q0"":""28"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w4c941ca,survey-text,5800,941776,,,,"{""Q0"":""20"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w15a8549,survey-text,7629,545209,,,,"{""Q0"":""35"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wac9d553,survey-text,19889,1622899,,,,"{""Q0"":""27"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wcc74651,survey-text,10922,643995,,,,"{""Q0"":""24"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w6fe3529,survey-text,10175,912538,,,,"{""Q0"":""38"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w197786e,survey-text,5752,527601,,,,"{""Q0"":""33"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w157b3f1,survey-text,9693,1077969,,,,"{""Q0"":""22"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w3aaffdc,survey-text,8928,1031811,,,,"{""Q0"":""44"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wa54e87c,survey-text,11337,722116,,,,"{""Q0"":""19"",""Q1"":""Man""}",,,,,,,,,,,,,,,,
wab267b0,survey-text,5818,1538968,,,,"{""Q0"":""20"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
