wid,view_history,questions,correct,responses,stimulus,button_pressed,trial_index,trial_time,delays,block,score,clicks,n_clicks,stim_i
w1f00ab2,,,,,,,0,28233.0,[],training,15.0,"[10, 6, 8, 7, 2, 4, 3, 12, 11]",9,0
w1f00ab2,,,,,,,1,11038.0,[],training,47.0,[11],1,1
w1f00ab2,,,,,,,2,10035.0,[],training,41.0,"[7, 8, 12]",3,2
w1f00ab2,,,,,,,3,10873.0,[],training,54.0,"[12, 11]",2,3
w1f00ab2,,,,,,,4,11830.0,[],training,16.0,"[7, 8, 12, 11, 4, 3]",6,4
w1f00ab2,,,,,,,5,9557.0,[],training,36.0,"[12, 11]",2,5
w1f00ab2,,,,,,,6,9492.0,[],training,50.0,"[7, 8]",2,6
w1f00ab2,,,,,,,7,9950.0,[],training,49.0,"[12, 10, 9]",3,7
w1f00ab2,,,,,,,8,16606.0,[],training,18.0,"[12, 11, 7, 8, 3, 4, 2, 10, 6, 5, 9, 1]",12,8
w1f00ab2,,,,,,,9,9760.0,[],training,39.0,"[12, 10, 9]",3,9
w1f00ab2,,,,,,,10,19116.0,[],test,16.0,"[29, 28, 24, 25]",4,10
w1f00ab2,,,,,,,11,19886.0,[],test,-3.0,"[17, 14, 15, 12, 21, 20]",6,11
w1f00ab2,,,,,,,12,17082.0,[],test,23.0,"[33, 24, 30, 29]",4,12
w1f00ab2,,,,,,,13,13663.0,[],test,50.0,"[29, 27, 28, 33, 32, 31]",6,13
w1f00ab2,,,,,,,14,17486.0,[],test,-5.0,"[29, 27, 28, 33, 32, 31, 17, 20, 21]",9,14
w1f00ab2,,,,,,,15,9481.0,[],test,11.0,"[33, 32, 25]",3,15
w1f00ab2,,,,,,,16,13022.0,[],test,20.0,"[33, 32, 27, 29, 28, 31]",6,16
w1f00ab2,,,,,,,17,12579.0,[],test,13.0,"[20, 21, 16, 17, 18, 22]",6,17
w1f00ab2,,,,,,,18,10512.0,[],test,3.0,"[29, 28, 31, 33]",4,18
w1f00ab2,,,,,,,19,11542.0,[],test,33.0,"[33, 32, 27, 29, 26]",5,19
w1f00ab2,,,,,,,20,14648.0,[],test,-14.0,"[17, 20, 21, 16, 18, 22, 33]",7,20
w1f00ab2,,,,,,,21,11568.0,[],test,29.0,"[33, 31, 32, 25]",4,21
w1f00ab2,,,,,,,22,10474.0,[],test,34.0,"[29, 25]",2,22
w1f00ab2,,,,,,,23,10599.0,[],test,48.0,"[33, 32]",2,23
w1f00ab2,,,,,,,24,11727.0,[],test,93.0,"[29, 33, 32, 31]",4,24
w1f00ab2,,,,,,,25,11187.0,[],test,58.0,"[33, 32, 27]",3,25
w1f00ab2,,,,,,,26,10318.0,[],test,43.0,"[29, 28, 27]",3,26
w1f00ab2,,,,,,,27,10794.0,[],test,5.0,"[33, 28, 29, 31, 32, 27]",6,27
w1f00ab2,,,,,,,28,9941.0,[],test,40.0,"[33, 31, 28, 29, 27]",5,28
w1f00ab2,,,,,,,29,11506.0,[],test,36.0,"[33, 32, 31, 27, 28, 29]",6,29
w5446a8b,,,,,,,0,11242.0,[],training,31.0,"[5, 9, 1]",3,30
w5446a8b,,,,,,,1,20362.0,[],training,33.0,[1],1,31
w5446a8b,,,,,,,2,27253.0,[],training,-18.0,"[5, 9]",2,32
w5446a8b,,,,,,,3,10692.0,[],training,-54.0,"[9, 1]",2,33
w5446a8b,,,,,,,4,12854.0,[],training,11.0,[3],1,34
w5446a8b,,,,,,,5,12719.0,[],training,11.0,[11],1,35
w5446a8b,,,,,,,6,9287.0,[],training,58.0,"[8, 12]",2,36
w5446a8b,,,,,,,7,10606.0,[],training,9.0,"[12, 4, 7]",3,37
