wid,startTime,variance,feedback,delay_window,stage,bonus,completed,completed_1,previously_participated,n_quiz,instruct_time,total_time
wc2b5152,Mon Feb 01 2021 13:45:13 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.56,True,True,Yes,1.0,[65302],9.180483333333333
wb0d67f3,Mon Feb 01 2021 12:49:31 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.51,True,True,No,1.0,[43393],13.77265
w9b6356e,Mon Feb 01 2021 13:26:30 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.59,True,True,No,2.0,"[76358, 32453]",17.837183333333332
w35cdbbe,Mon Feb 01 2021 12:40:07 GMT-0600 (Central Standard Time),2_4_24,action,12,1,,False,True,,,,
w07b3ce8,Mon Feb 01 2021 13:29:45 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,,False,False,,2.0,"[33927, 29437]",
w2a3f3ed,Mon Feb 01 2021 12:23:15 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,,False,True,,,,
w5d62ef9,Mon Feb 01 2021 13:01:53 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,,False,True,,,,
w54c02b5,Mon Feb 01 2021 12:29:56 GMT-0600 (CST),2_4_24,none,12,1,0.52,True,True,No,1.0,[87474],11.54225
w4d3ace0,Mon Feb 01 2021 13:29:41 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.64,True,True,No,1.0,[117638],12.9609
w2a77652,Mon Feb 01 2021 13:12:10 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.53,True,True,No,2.0,"[69627, 22161]",16.51165
w5697380,Mon Feb 01 2021 13:35:02 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.2,True,True,No,1.0,[104754],12.860833333333334
w3cf0b45,Mon Feb 01 2021 11:45:24 GMT-0700 (Mountain Standard Time),2_4_24,meta,12,1,0.65,True,True,No,1.0,[53767],13.408383333333333
wcd17cba,Mon Feb 01 2021 13:30:05 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.08,True,True,Yes,1.0,[12672],17.991616666666665
webe69b1,Mon Feb 01 2021 13:29:41 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.62,True,True,No,1.0,[90846],15.653933333333333
wb0d8750,Mon Feb 01 2021 13:18:22 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.45,True,True,Not sure,1.0,[170565],16.062933333333334
w76dd4ee,Mon Feb 01 2021 10:38:52 GMT-0800 (Pacific Standard Time),2_4_24,action,12,1,,False,True,,,,
w959beb0,Mon Feb 01 2021 12:31:16 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.53,True,True,No,1.0,[81050],15.6376
wadc9d05,Mon Feb 01 2021 12:56:23 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.52,True,True,No,1.0,[123584],17.7291
w76e01de,Mon Feb 01 2021 13:24:56 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.27,True,True,No,3.0,"[106640, 7263, 14293]",12.2533
w7450971,Mon Feb 01 2021 10:27:43 GMT-0800 (Pacific Standard Time),2_4_24,none,12,1,,False,True,,,,
w218e631,Mon Feb 01 2021 11:55:24 GMT-0500 (EST),2_4_24,action,12,1,,False,False,,1.0,[111798],
w01669a7,Mon Feb 01 2021 13:36:53 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.35,True,True,No,2.0,"[64864, 6571]",14.543066666666666
w3bd5801,Mon Feb 01 2021 10:42:40 GMT-0800 (Pacific Standard Time),2_4_24,meta,12,1,0.68,True,True,No,1.0,[102174],14.21585
w9b1fd96,Mon Feb 01 2021 13:12:24 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.0,True,True,No,1.0,[34951],12.4543
wcc818a2,Mon Feb 01 2021 10:20:19 GMT-0800 (Pacific Standard Time),2_4_24,action,12,1,0.72,True,True,No,1.0,[55545],10.9111
w6f2000f,Mon Feb 01 2021 12:12:02 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.62,True,True,No,2.0,"[105616, 22717]",24.629483333333333
w8a8ab24,Mon Feb 01 2021 13:32:18 GMT-0600 (Central Standard Time),2_4_24,none,12,1,0.56,True,True,No,1.0,[86745],12.299083333333334
w4a8429b,Mon Feb 01 2021 09:49:26 GMT-0800 (Pacific Standard Time),2_4_24,meta,12,1,0.51,True,True,No,1.0,[75806],11.35945
w121b9c1,Mon Feb 01 2021 13:25:44 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.4,True,True,No,1.0,[53318],10.838283333333333
w3861fef,Mon Feb 01 2021 13:38:01 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.74,True,True,No,1.0,[62577],10.94715
w9089f6a,Mon Feb 01 2021 09:57:45 GMT-0800 (Pacific Standard Time),2_4_24,meta,12,1,0.74,True,True,No,2.0,"[48964, 17705]",12.5903
w42f0835,Mon Feb 01 2021 14:27:11 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.48,True,True,No,1.0,[70581],11.2844
w514f441,Mon Feb 01 2021 12:32:14 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,,False,True,,,,
w04d56d7,Mon Feb 01 2021 13:34:13 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.69,True,True,No,1.0,[328694],21.1825
wb2c69c8,Mon Feb 01 2021 11:56:31 GMT-0600 (CST),2_4_24,none,12,1,0.2,True,True,No,2.0,"[57380, 19895]",10.4318
w8af2d3c,Mon Feb 01 2021 10:37:54 GMT-0800 (Pacific Standard Time),2_4_24,none,12,1,0.67,True,True,No,1.0,[65263],12.512333333333334
w4cc6f0b,Mon Feb 01 2021 13:29:43 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.57,True,True,No,1.0,[59469],20.385
w07394b7,Mon Feb 01 2021 13:36:47 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.44,True,True,No,1.0,[106421],23.52713333333333
w672b9ce,Mon Feb 01 2021 13:37:34 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.65,True,True,No,1.0,[123451],13.090766666666667
w5957bc7,Mon Feb 01 2021 11:58:46 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.62,True,True,No,1.0,[83366],20.099666666666668
wa6ad189,Mon Feb 01 2021 10:00:55 GMT-0800 (Pacific Standard Time),2_4_24,meta,12,1,,False,False,,,,
w3b97ab5,Mon Feb 01 2021 14:31:01 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.48,True,True,No,1.0,[46422],9.108216666666667
wf5bf1cd,Mon Feb 01 2021 13:21:40 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,,False,False,,2.0,"[97979, 33738]",
wc35e71d,Mon Feb 01 2021 12:22:48 GMT-0600 (CST),2_4_24,meta,12,1,,False,False,,2.0,"[111244, 69853]",
w85a5a53,Mon Feb 01 2021 12:27:20 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.51,True,True,No,2.0,"[291055, 23727]",16.301066666666667
w08affb2,Mon Feb 01 2021 11:48:33 GMT-0600 (Central Standard Time),2_4_24,action,12,1,,False,True,,,,
w378dfa2,Mon Feb 01 2021 13:20:48 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.16,True,True,No,2.0,"[82956, 54219]",17.254166666666666
w3a7d863,Mon Feb 01 2021 12:33:10 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.53,True,True,No,1.0,[241052],17.067833333333333
wa029bc1,Mon Feb 01 2021 12:36:35 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.62,True,True,No,1.0,[71759],12.578083333333334
w8d52ecb,Mon Feb 01 2021 12:45:00 GMT-0600 (Central Standard Time),2_4_24,none,12,1,0.74,True,True,Yes,1.0,[17695],12.025566666666666
w6304f4a,Mon Feb 01 2021 10:16:24 GMT-0800 (Pacific Standard Time),2_4_24,none,12,1,0.46,True,True,No,1.0,[54922],11.158183333333334
we404ecf,Mon Feb 01 2021 12:24:47 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.42,True,True,No,1.0,[63114],11.774916666666666
w1ea100f,Mon Feb 01 2021 12:38:39 GMT-0600 (Central Standard Time),2_4_24,action,12,1,,False,True,,,,
wab416d7,Mon Feb 01 2021 12:31:16 GMT-0600 (Central Standard Time),2_4_24,action,12,1,0.2,True,True,No,2.0,"[82759, 26835]",18.328733333333332
w1977a44,Mon Feb 01 2021 13:10:23 GMT-0500 (EST),2_4_24,none,12,1,,False,True,,,,
w19cf326,Mon Feb 01 2021 19:43:24 GMT+0200 (IST),2_4_24,none,12,1,,False,False,,1.0,[85630],
w2d09e07,Mon Feb 01 2021 12:32:06 GMT-0600 (Central Standard Time),2_4_24,none,12,1,0.11,True,True,No,1.0,[70496],9.966033333333334
w42f61b8,Mon Feb 01 2021 13:13:22 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,,False,True,,,,
w021d4ac,Mon Feb 01 2021 12:45:14 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,,False,False,,,,
w8883c2c,Mon Feb 01 2021 11:35:27 GMT-0700 (Mountain Standard Time),2_4_24,none,12,1,0.47,True,True,No,1.0,[233542],26.579933333333333
w338a3d2,Mon Feb 01 2021 13:44:08 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.51,True,True,No,2.0,"[51696, 10953]",13.704116666666666
wb0048d6,Mon Feb 01 2021 13:06:02 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.7,True,True,No,1.0,[55949],13.09525
w6942e17,Mon Feb 01 2021 13:05:58 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,,False,True,,,,
w87647aa,Mon Feb 01 2021 13:29:39 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.74,True,True,Not sure,1.0,[112496],16.441766666666666
w27b8993,Mon Feb 01 2021 11:20:59 GMT-0700 (Mountain Standard Time),2_4_24,action,12,1,0.58,True,True,No,1.0,[39350],11.06015
