wid,stimulus,button_pressed,view_history,questions,responses,correct,block,delays,score,trial_time,path,state_rewards,trial_index,key_press,clicks,n_clicks,stim_i
w383bb6f,,,,,,,training,"[3, 40]",-23.0,140629.0,"['0', '5', '6', '8']","['', 4, 4, -48, 48, -2, 4, -48, -24, -2, -4, -48, 24]",0,,[1],1,0
w383bb6f,,,,,,,training,[42],-22.0,60242.0,"['0', '1', '2', '4']","['', -2, 4, -48, -24, 2, 4, 24, 24, -2, -4, 48, -24]",1,,[],0,1
w383bb6f,,,,,,,training,[42],-24.0,58841.0,"['0', '5', '6', '7']","['', -2, 4, 24, -24, -4, 4, -24, 24, -4, -8, -24, 24]",2,,[],0,2
w383bb6f,,,,,,,training,[42],-14.0,86184.0,"['0', '1', '2', '3']","['', 2, 8, -24, -48, -2, 8, 48, 24, 4, 8, -24, -48]",3,,[],0,3
w383bb6f,,,,,,,training,[42],42.0,64312.0,"['0', '5', '6', '7']","['', -4, 4, 24, 24, -2, -4, 48, -24, -4, 8, -48, 48]",4,,[],0,4
w383bb6f,,,,,,,training,"[0, 0, 2, 3, 3, 3, 0]",-60.0,42128.0,"['0', '5', '6', '7']","['', -4, 8, 48, 24, 2, -8, -48, -24, -4, -4, 48, -24]",5,,"[4, 3, 2, 1, 9, 5]",6,5
w383bb6f,,,,,,,training,[42],-24.0,51761.0,"['0', '1', '2', '3']","['', 4, -4, -24, 24, 2, 4, -24, -48, 4, -8, 48, -48]",6,,[],0,6
w383bb6f,,,,,,,training,[42],-52.0,52153.0,"['0', '1', '2', '3']","['', 4, -8, -48, -48, -4, 4, 24, 24, -2, -8, -24, 48]",7,,[],0,7
w383bb6f,,,,,,,training,"[3, 3, 41]",-20.0,65292.0,"['0', '5', '6', '7']","['', -2, 8, 24, -48, 2, 4, -24, 24, -2, -8, 48, -24]",8,,"[1, 9]",2,8
w383bb6f,,,,,,,training,"[3, 40]",-13.0,54760.0,"['0', '1', '2', '3']","['', 4, 8, -24, 48, 2, 8, -48, -48, 2, -4, 24, -48]",9,,[1],1,9
w8af2d3c,,,,,,,training,[],53.0,17548.0,"['0', '1', '2', '3']","['', 4, 4, 48, -48, -2, -8, 48, -24, -4, -8, 24, -48]",0,,"[1, 5, 9]",3,10
w8af2d3c,,,,,,,training,[],21.0,10674.0,"['0', '9', '10', '11']","['', 2, 8, -48, -24, 2, 8, -24, -48, 4, -4, 24, -48]",1,,"[1, 5, 9]",3,11
w8af2d3c,,,,,,,training,[],42.0,13915.0,"['0', '1', '2', '3']","['', -4, 8, 48, 24, 2, -8, -48, -24, -4, -4, 48, -24]",2,,"[1, 5, 9, 7, 8, 6, 2, 10, 3, 4]",10,5
