wid,startTime,feedback,bonus,completed,previously_participated,n_quiz,instruct_time,total_time
w0a9e57a,Tue Feb 09 2021 11:55:16 GMT-0500 (Eastern Standard Time),meta,0.61,True,No,1,[103699],14.644433333333334
waea68f3,Tue Feb 09 2021 12:12:47 GMT-0500 (Eastern Standard Time),meta,0.38,True,No,2,"[301052, 125260]",28.9185
w6c3f3fe,Tue Feb 09 2021 12:04:01 GMT-0500 (Eastern Standard Time),none,0.57,True,Not sure,1,[40950],6.9214
w697fe67,Tue Feb 09 2021 12:28:13 GMT-0500 (Eastern Standard Time),meta,0.0,False,,1,[147066],
w47805c4,Tue Feb 09 2021 12:24:46 GMT-0500 (Eastern Standard Time),meta,0.62,True,No,1,[79199],11.179533333333334
w4ee7822,Tue Feb 09 2021 12:36:27 GMT-0500 (Eastern Standard Time),meta,0.64,True,No,1,[79485],10.24665
w5133666,Tue Feb 09 2021 12:03:18 GMT-0500 (Eastern Standard Time),none,0.38,True,No,3,"[43086, 21470, 24927]",8.469833333333334
wbd7591f,Tue Feb 09 2021 11:26:07 GMT-0600 (Central Standard Time),meta,0.24,True,No,2,"[148999, 45666]",21.24128333333333
wc0d7f20,Tue Feb 09 2021 10:58:42 GMT-0600 (Central Standard Time),action,0.39,True,No,2,"[93553, 152036]",20.31115
w2c0956a,Tue Feb 09 2021 11:31:40 GMT-0600 (Central Standard Time),none,0.41,True,Not sure,3,"[2445638, 20888, 21548]",49.147666666666666
w5771895,Tue Feb 09 2021 12:27:24 GMT-0500 (Eastern Standard Time),none,0.56,True,No,2,"[69923, 7345]",9.058583333333333
w27b6895,Tue Feb 09 2021 11:08:12 GMT-0600 (Central Standard Time),meta,0.58,True,No,4,"[79862, 23483, 7047, 18836]",15.395783333333334
w9383dc8,Tue Feb 09 2021 09:31:29 GMT-0800 (Pacific Standard Time),action,0.54,True,No,1,[71406],9.101133333333333
wcdbf970,Tue Feb 09 2021 12:23:23 GMT-0500 (EST),action,0.0,False,,2,"[482378, 35866]",
wd909eeb,Tue Feb 09 2021 12:29:48 GMT-0500 (Eastern Standard Time),meta,0.44,True,No,2,"[127780, 8567]",15.703983333333333
w3e0defd,Tue Feb 09 2021 12:24:16 GMT-0500 (Eastern Standard Time),meta,0.1,True,No,1,[189135],20.400983333333333
wa752ee0,Tue Feb 09 2021 12:25:46 GMT-0500 (Eastern Standard Time),action,0.27,True,No,1,[74973],25.328333333333333
w8098a87,Tue Feb 09 2021 09:27:20 GMT-0800 (Pacific Standard Time),meta,0.61,True,No,2,"[77520, 47857]",12.361766666666666
w367331b,Tue Feb 09 2021 09:25:32 GMT-0800 (Pacific Standard Time),meta,0.69,True,No,2,"[107786, 21428]",12.069316666666667
wf611255,Tue Feb 09 2021 12:27:39 GMT-0500 (Eastern Standard Time),none,0.53,True,No,1,[276978],13.090883333333334
wfebf89d,Tue Feb 09 2021 11:16:58 GMT-0600 (Central Standard Time),action,0.79,True,No,2,"[297648, 16392]",13.795366666666666
w7fad671,Tue Feb 09 2021 11:22:10 GMT-0600 (Central Standard Time),none,0.49,True,No,1,[218404],13.819816666666666
w1bcff61,Tue Feb 09 2021 09:29:09 GMT-0800 (Pacific Standard Time),action,0.73,True,No,1,[22672],9.83585
wcec8665,Tue Feb 09 2021 11:30:47 GMT-0500 (EST),action,0.69,True,No,2,"[86959, 30854]",10.177683333333333
w53be05b,Tue Feb 09 2021 12:35:02 GMT-0500 (EST),meta,0.63,True,No,3,"[88237, 16050, 13938]",18.37
