wid,view_history,responses,questions,correct,stimulus,button_pressed,score,block,trial_time,state_rewards,trial_index,delays,clicks,n_clicks,stim_i
w24bfe32,,,,,,,22.0,training,25157.0,"['', -10, -5, -5, 10, 5, -5, -5, 5, 10, 10, -5, 5]",0,[],"[9, 5, 1]",3,0
w24bfe32,,,,,,,22.0,training,18905.0,"['', -5, 10, -5, 5, 10, 10, 10, -10, 10, -5, 10, -10]",1,[],"[1, 5, 9, 10, 6, 8, 12, 7]",8,1
w24bfe32,,,,,,,14.0,training,14271.0,"['', -5, 10, -5, 10, -5, -10, -10, 5, 10, 5, -10, 5]",2,[],"[9, 10, 5, 6, 11, 12]",6,2
w24bfe32,,,,,,,-1.0,training,43217.0,"['', -5, -5, -10, 5, -10, 10, 10, 5, -5, 5, -10, 10]",3,[],"[9, 10, 12, 5, 1, 11, 6, 8, 7, 2, 3]",11,3
w24bfe32,,,,,,,16.0,training,9944.0,"['', 10, 5, 5, 5, -10, 5, 5, -10, 10, 5, -10, 5]",4,[],"[5, 9, 10, 12]",4,4
w24bfe32,,,,,,,13.0,training,18007.0,"['', 10, 10, 5, 5, 10, -5, 10, -5, -5, 10, 5, 10]",5,[],"[9, 5, 7, 6, 8, 11, 10, 12, 1, 2, 3, 4]",12,5
w24bfe32,,,,,,,10.0,training,17976.0,"['', -5, -5, 5, 5, 10, 5, 5, -10, -10, -10, -5, 10]",6,[],"[9, 5, 1, 6, 7, 8, 10, 11, 2, 3]",10,6
w24bfe32,,,,,,,9.0,training,13342.0,"['', -10, -10, -10, -5, 5, 5, 5, 5, 5, -10, 10, -5]",7,[],"[9, 5, 10, 6, 7, 8]",6,7
w24bfe32,,,,,,,-7.0,training,27528.0,"['', -10, 5, -10, 10, 10, -10, -10, 5, 10, -5, -5, -10]",8,[],"[9, 5, 10, 6, 7, 8, 12, 11, 1, 2, 3, 4]",12,8
w24bfe32,,,,,,,18.0,training,13352.0,"['', 10, 5, 10, 5, 5, -5, 10, 10, 5, 5, -5, -5]",9,[],"[9, 5, 1, 10, 11, 2, 3]",7,9
w24bfe32,,,,,,,-1.0,test,19213.0,"['', 5, 10, -5, -5, -5, -5, -5, -10, -5, -5, 10, 5]",10,[],"[9, 5, 1, 2, 4, 3, 10, 12, 11, 7, 6]",11,10
