wid,stimulus,button_pressed,view_history,responses,questions,correct,delays,block,trial_time,score,trial_index,key_press,clicks,n_clicks,stim_i
w3f28d59,,,,,,,"[3, 40]",training,65893.0,55.0,0,,[1],1,0
w3f28d59,,,,,,,"[0, 18]",training,39046.0,23.0,1,,[3],1,1
w3f28d59,,,,,,,"[0, 0, 0, 0, 0, 3, 0]",training,12004.0,42.0,2,,"[8, 12, 11, 7, 3, 4]",6,2
w3f28d59,,,,,,,"[0, 0, 0]",training,8949.0,46.0,3,,"[12, 8]",2,3
w3f28d59,,,,,,,"[0, 0, 0, 0]",training,10187.0,47.0,4,,"[12, 11, 3]",3,4
w3f28d59,,,,,,,"[0, 0, 0, 0, 0]",training,8738.0,34.0,5,,"[4, 3, 8, 12]",4,5
w3f28d59,,,,,,,"[0, 0]",training,9972.0,43.0,6,,[8],1,6
w3f28d59,,,,,,,"[0, 0]",training,9568.0,35.0,7,,[12],1,7
w3f28d59,,,,,,,"[0, 0, 0, 0, 0]",training,9950.0,50.0,8,,"[3, 4, 12, 7]",4,8
w3f28d59,,,,,,,"[0, 0]",training,9510.0,41.0,9,,[11],1,9
w517c1ab,,,,,,,[],training,13632.0,48.0,0,,[],0,2
w517c1ab,,,,,,,[],training,11168.0,20.0,1,,[],0,4
w517c1ab,,,,,,,[],training,9719.0,38.0,2,,[],0,0
w517c1ab,,,,,,,[],training,9390.0,-22.0,3,,[],0,10
w517c1ab,,,,,,,[],training,9574.0,-48.0,4,,[],0,11
w517c1ab,,,,,,,[],training,7732.0,-52.0,5,,[],0,12
w517c1ab,,,,,,,[],training,9296.0,-44.0,6,,[],0,13
w517c1ab,,,,,,,[],training,38618.0,-22.0,7,,[],0,7
w517c1ab,,,,,,,[],training,19984.0,42.0,8,,[],0,14
w517c1ab,,,,,,,[],training,9278.0,-48.0,9,,[],0,15
w6c36acd,,,,,,,[],training,47115.0,38.0,0,,"[9, 5, 6, 10, 11, 12, 7, 8, 1, 2, 4, 3]",12,7
w6c36acd,,,,,,,[],training,31681.0,13.0,1,,"[9, 10, 11, 12, 1, 2, 4, 3, 7, 6, 8]",11,16
w6c36acd,,,,,,,[],training,23732.0,44.0,2,,"[12, 11, 7, 4, 3, 8, 1, 2, 9, 10]",10,17
w6c36acd,,,,,,,[],training,17941.0,38.0,3,,"[11, 12, 7, 8, 3, 4, 5, 6, 10, 9]",10,11
w6c36acd,,,,,,,[],training,23467.0,24.0,4,,"[11, 7, 4, 8, 12, 3, 2, 1, 6, 10, 5, 9]",12,18
w6c36acd,,,,,,,[],training,11465.0,32.0,5,,"[11, 4, 3, 7, 8, 12, 10, 9]",8,19
w6c36acd,,,,,,,[],training,10727.0,48.0,6,,"[4, 3, 7, 8, 11, 12]",6,20
w6c36acd,,,,,,,[],training,13917.0,50.0,7,,"[11, 4, 3, 7, 8, 12, 2, 10, 1, 9]",10,21
w6c36acd,,,,,,,[],training,14195.0,46.0,8,,"[4, 3, 7, 8, 12, 11, 6, 10]",8,22
w6c36acd,,,,,,,[],training,13596.0,48.0,9,,"[11, 12, 4, 3, 7, 8]",6,23
wd3e8a8b,,,,,,,[],training,19524.0,58.0,0,,"[9, 5]",2,24
wd3e8a8b,,,,,,,[],training,62199.0,-24.0,1,,"[5, 6, 7, 1, 2, 4]",6,25
wd3e8a8b,,,,,,,[],training,20685.0,40.0,2,,"[5, 6, 7, 8, 1, 2, 4, 3, 9, 10, 12, 11]",12,26
wd3e8a8b,,,,,,,[],training,12697.0,32.0,3,,"[5, 6, 8, 7, 1, 2, 3, 4, 9, 10, 11, 12]",12,27
wd3e8a8b,,,,,,,[],training,10042.0,48.0,4,,"[1, 2, 4, 3]",4,28
wd3e8a8b,,,,,,,[],training,12324.0,27.0,5,,"[5, 6, 7, 8, 1, 2, 4, 9, 10, 12, 11]",11,29
wd3e8a8b,,,,,,,[],training,11358.0,26.0,6,,"[1, 2, 3, 4, 8, 7, 6, 5, 12, 11]",10,30
wd3e8a8b,,,,,,,[],training,18275.0,12.0,7,,"[8, 7, 3, 4, 11, 12, 9, 10]",8,31
wd3e8a8b,,,,,,,[],training,11749.0,35.0,8,,"[1, 2, 4, 3, 6, 7, 8, 12, 11]",9,6
wd3e8a8b,,,,,,,[],training,8488.0,50.0,9,,"[3, 4, 11, 12, 10, 9]",6,32
w482ad78,,,,,,,[],training,23596.0,44.0,0,,"[1, 2, 3, 4, 7, 8, 6, 5, 9, 11, 10, 12]",12,32
w482ad78,,,,,,,[],training,25401.0,38.0,1,,"[1, 2, 3, 4, 9, 10, 11, 12, 5, 6, 8, 7]",12,33
w482ad78,,,,,,,[],training,14479.0,44.0,2,,"[1, 2, 3, 4, 9, 5, 7, 6, 8, 12, 10, 11]",12,34
w482ad78,,,,,,,[],training,11863.0,44.0,3,,"[11, 10, 12, 9, 1, 2, 4, 3, 5, 6, 8, 7]",12,9
w482ad78,,,,,,,[],training,15757.0,26.0,4,,"[11, 10, 12, 9, 1, 2, 4, 3, 5, 6, 8, 7]",12,35
w482ad78,,,,,,,[],training,11470.0,46.0,5,,"[2, 1, 3, 4, 9, 10, 5, 6]",8,13
w482ad78,,,,,,,[],training,19406.0,18.0,6,,"[4, 3, 7, 8, 11, 12, 10, 2, 6, 5, 1, 9]",12,36
