wid,train_height,feedback,startTime,bonus,completed
we6f0dfa,3,none,Mon Oct 26 2020 13:43:38 GMT-0400 (Eastern Daylight Time),0.0,True
w18c6801,3,none,Mon Oct 26 2020 13:42:53 GMT-0400 (Eastern Daylight Time),0.0,True
w4004298,3,action,Mon Oct 26 2020 07:41:56 GMT-1000 (Hawaii-Aleutian Standard Time),0.0,True
waecabcf,3,action,Mon Oct 26 2020 13:44:20 GMT-0400 (Eastern Daylight Time),0.0,True
w5c088bb,3,none,Mon Oct 26 2020 13:34:11 GMT-0400 (Eastern Daylight Time),0.0,True
w1192040,3,none,Mon Oct 26 2020 13:39:22 GMT-0400 (Eastern Daylight Time),0.0,True
wfcb5827,3,action,Mon Oct 26 2020 12:38:34 GMT-0500 (Central Daylight Time),0.0,True
w63876de,3,meta,Mon Oct 26 2020 13:53:10 GMT-0400 (Eastern Daylight Time),0.0,True
w6676851,3,none,Mon Oct 26 2020 09:31:51 GMT-0700 (Pacific Daylight Time),0.0,True
wb264739,3,meta,Mon Oct 26 2020 13:31:33 GMT-0500 (Colombia Standard Time),0.0,True
wdc20064,3,meta,Mon Oct 26 2020 13:10:13 GMT-0400 (Eastern Daylight Time),0.0,True
we768dde,3,none,Mon Oct 26 2020 13:28:05 GMT-0500 (Central Daylight Time),0.0,True
w7372f01,3,meta,Mon Oct 26 2020 13:44:40 GMT-0400 (Eastern Daylight Time),0.0,True
w5c82366,3,none,Mon Oct 26 2020 10:39:52 GMT-0700 (Pacific Daylight Time),0.0,True
w4af49c9,3,action,Mon Oct 26 2020 10:12:02 GMT-0700 (Mountain Standard Time),0.0,True
w44519a3,3,none,Mon Oct 26 2020 12:48:15 GMT-0500 (Central Daylight Time),0.0,True
w66dbfb9,3,none,Mon Oct 26 2020 12:30:34 GMT-0500 (Central Daylight Time),0.0,True
w2793fb6,3,meta,Mon Oct 26 2020 13:47:24 GMT-0400 (Eastern Daylight Time),0.0,True
w109f0ec,3,action,Mon Oct 26 2020 10:33:23 GMT-0700 (Pacific Daylight Time),0.0,False
w88fa9c1,3,meta,Mon Oct 26 2020 12:37:00 GMT-0500 (Central Daylight Time),0.0,True
w40e3389,3,meta,Mon Oct 26 2020 10:12:31 GMT-0700 (PDT),0.0,True
w5a140d3,3,action,Mon Oct 26 2020 13:34:37 GMT-0400 (Eastern Daylight Time),0.0,True
w65bc127,3,meta,Mon Oct 26 2020 15:15:27 GMT-0400 (Eastern Daylight Time),0.0,True
w03d79e5,3,action,Mon Oct 26 2020 13:34:25 GMT-0400 (Eastern Daylight Time),0.0,True
w55bcaca,3,none,Mon Oct 26 2020 09:15:31 GMT-0900 (GMT-09:00),0.0,False
w0d91644,3,none,Mon Oct 26 2020 13:35:19 GMT-0400 (Eastern Daylight Time),0.0,True
wb7ac4c3,3,meta,Mon Oct 26 2020 12:45:39 GMT-0500 (Central Daylight Time),0.0,True
w79ccf3e,3,action,Mon Oct 26 2020 10:48:25 GMT-0700 (Pacific Daylight Time),0.0,False
w6d0d217,3,action,Mon Oct 26 2020 13:49:33 GMT-0400 (Eastern Daylight Time),0.0,True
w6392fb9,3,none,Mon Oct 26 2020 13:21:58 GMT-0400 (Eastern Daylight Time),0.0,True
wb35a5f8,3,action,Mon Oct 26 2020 13:35:44 GMT-0400 (Eastern Daylight Time),0.0,True
w6c91f53,3,none,Mon Oct 26 2020 13:41:35 GMT-0400 (Eastern Daylight Time),0.0,True
wafa08c4,3,none,Mon Oct 26 2020 13:10:41 GMT-0400 (Eastern Daylight Time),0.0,True
w670e8f8,3,meta,Mon Oct 26 2020 13:35:08 GMT-0400 (Eastern Daylight Time),0.0,False
wcf6b956,3,meta,Mon Oct 26 2020 13:50:18 GMT-0400 (Eastern Daylight Time),0.0,True
w1ba4d2a,3,action,Mon Oct 26 2020 11:05:03 GMT-0700 (Pacific Daylight Time),0.0,True
w304b9ad,3,action,Mon Oct 26 2020 10:14:09 GMT-0700 (Mountain Standard Time),0.0,False
w79f70f3,3,meta,Mon Oct 26 2020 12:46:51 GMT-0400 (Eastern Daylight Time),0.0,True
w9eab211,3,meta,Mon Oct 26 2020 13:43:08 GMT-0400 (Eastern Daylight Time),0.0,True
w61f7f66,3,action,Mon Oct 26 2020 13:28:44 GMT-0400 (Eastern Daylight Time),0.0,True
w481d889,3,meta,Mon Oct 26 2020 12:44:46 GMT-0400 (Eastern Daylight Time),0.0,True
w693b738,3,meta,Mon Oct 26 2020 13:54:46 GMT-0400 (Eastern Daylight Time),0.0,True
w94555d2,3,none,Mon Oct 26 2020 12:46:47 GMT-0400 (Eastern Daylight Time),0.0,True
w5c09935,3,meta,Mon Oct 26 2020 14:16:19 GMT-0400 (Eastern Daylight Time),0.0,True
w9c4b289,3,meta,Mon Oct 26 2020 13:38:38 GMT-0400 (Eastern Daylight Time),0.0,True
w41d93aa,3,none,Mon Oct 26 2020 13:48:47 GMT-0400 (Eastern Daylight Time),0.0,True
w7e4b254,3,action,Mon Oct 26 2020 13:38:30 GMT-0400 (Eastern Daylight Time),0.0,True
w03510c5,3,meta,Mon Oct 26 2020 10:40:35 GMT-0700 (Pacific Daylight Time),0.0,True
w00afac0,3,meta,Mon Oct 26 2020 13:14:08 GMT-0400 (Eastern Daylight Time),0.0,True
w6ea1325,3,meta,Mon Oct 26 2020 12:16:38 GMT-0500 (Central Daylight Time),0.0,True
w266a151,3,action,Mon Oct 26 2020 13:08:04 GMT-0400 (Eastern Daylight Time),0.0,False
w7bcba3b,3,action,Mon Oct 26 2020 13:35:06 GMT-0400 (Eastern Daylight Time),0.0,True
w827fc90,3,none,Mon Oct 26 2020 10:26:28 GMT-0700 (Pacific Daylight Time),0.0,True
w3fd7606,3,action,Mon Oct 26 2020 12:54:24 GMT-0400 (Eastern Daylight Time),0.0,True
wa2fd528,3,none,Mon Oct 26 2020 10:18:40 GMT-0700 (Pacific Daylight Time),0.0,True
wa616224,3,none,Mon Oct 26 2020 12:53:23 GMT-0400 (Eastern Daylight Time),0.0,True
w355bc50,3,action,Mon Oct 26 2020 10:38:47 GMT-0700 (Pacific Daylight Time),0.0,True
w3d8365b,3,action,Mon Oct 26 2020 12:52:23 GMT-0400 (Eastern Daylight Time),0.0,True
w2ab54ce,3,meta,Mon Oct 26 2020 10:33:53 GMT-0700 (Pacific Daylight Time),0.0,True
w34b3b14,3,none,Mon Oct 26 2020 13:41:21 GMT-0400 (Eastern Daylight Time),0.0,True
wf9761ce,3,action,Mon Oct 26 2020 13:41:42 GMT-0400 (Eastern Daylight Time),0.0,True
w905a6a8,3,meta,Mon Oct 26 2020 11:17:42 GMT-0700 (Pacific Daylight Time),0.0,True
we2c2af5,3,none,Mon Oct 26 2020 12:39:07 GMT-0500 (Central Daylight Time),0.0,True
w79cb3a2,3,none,Mon Oct 26 2020 13:41:24 GMT-0400 (Eastern Daylight Time),0.0,True
w5c03936,3,action,Mon Oct 26 2020 13:25:24 GMT-0400 (Eastern Daylight Time),0.0,True
w8474857,3,meta,Mon Oct 26 2020 13:27:06 GMT-0400 (EDT),0.0,True
w35d67ff,3,action,Mon Oct 26 2020 10:19:27 GMT-0700 (Pacific Daylight Time),0.0,True
wfad7116,3,meta,Mon Oct 26 2020 13:48:02 GMT-0400 (Eastern Daylight Time),0.0,True
w1aeb482,3,none,Mon Oct 26 2020 11:48:23 GMT-0600 (Mountain Daylight Time),0.0,True
w21b72c7,3,action,Mon Oct 26 2020 10:39:50 GMT-0700 (Pacific Daylight Time),0.0,True
w38b044a,3,none,Mon Oct 26 2020 10:52:28 GMT-0700 (Mountain Standard Time),0.0,True
w98ec025,3,meta,Mon Oct 26 2020 13:38:51 GMT-0400 (EDT),0.0,True
wdc3f276,3,none,Mon Oct 26 2020 13:10:59 GMT-0400 (Eastern Daylight Time),0.0,True
w202e807,3,action,Mon Oct 26 2020 14:35:38 GMT-0300 (Atlantic Daylight Time),0.0,True
we977b90,3,none,Mon Oct 26 2020 13:33:12 GMT-0400 (EDT),0.0,False
wc4d18d1,3,action,Mon Oct 26 2020 12:43:37 GMT-0500 (Central Daylight Time),0.0,True
wcfde54b,3,none,Mon Oct 26 2020 10:56:17 GMT-0700 (Pacific Daylight Time),0.0,True
w93f26eb,3,action,Mon Oct 26 2020 12:46:33 GMT-0500 (Central Daylight Time),0.0,True
w0ad7a18,3,none,Mon Oct 26 2020 10:33:37 GMT-0700 (PDT),0.0,True
we671bb1,3,action,Mon Oct 26 2020 19:05:38 GMT+0100 (GMT+01:00),0.0,False
wde6f8b6,3,none,Mon Oct 26 2020 13:49:31 GMT-0400 (Eastern Daylight Time),0.0,True
w00a5b64,3,none,Mon Oct 26 2020 10:19:30 GMT-0700 (Pacific Daylight Time),0.0,True
w61f58b5,3,action,Mon Oct 26 2020 12:32:53 GMT-0400 (Eastern Daylight Time),0.0,True
w6bb907b,3,meta,Mon Oct 26 2020 14:18:16 GMT-0400 (Eastern Daylight Time),0.0,True
w6b242c5,3,none,Mon Oct 26 2020 12:20:26 GMT-0500 (Central Daylight Time),0.0,True
w9964b87,3,action,Mon Oct 26 2020 13:20:19 GMT-0400 (Eastern Daylight Time),0.0,True
wbddc8d4,3,none,Mon Oct 26 2020 13:45:36 GMT-0400 (Eastern Daylight Time),0.0,True
wc07ad35,3,action,Mon Oct 26 2020 14:00:29 GMT-0400 (Eastern Daylight Time),0.0,False
w829eb47,3,action,Mon Oct 26 2020 10:47:59 GMT-0700 (Pacific Daylight Time),0.0,True
w4a334cd,3,meta,Mon Oct 26 2020 10:34:54 GMT-0700 (PDT),0.0,True
w06dda84,3,none,Mon Oct 26 2020 14:53:13 GMT-0300 (Atlantic Daylight Time),0.0,True
w7d702f2,3,none,Mon Oct 26 2020 13:40:57 GMT-0400 (Eastern Daylight Time),0.0,True
w0f667eb,3,none,Mon Oct 26 2020 09:50:48 GMT-0700 (PDT),0.0,False
we05b39b,3,meta,Mon Oct 26 2020 14:16:56 GMT-0400 (Eastern Daylight Time),0.0,False
w81629db,3,meta,Mon Oct 26 2020 13:41:00 GMT-0400 (Eastern Daylight Time),0.0,False
wc697bef,3,none,Mon Oct 26 2020 13:52:55 GMT-0400 (Eastern Daylight Time),0.0,False
w2915cde,3,meta,Mon Oct 26 2020 13:46:48 GMT-0400 (Eastern Daylight Time),0.0,True
wbb1a933,3,meta,Mon Oct 26 2020 12:41:54 GMT-0500 (Central Daylight Time),0.0,True
w93869a6,3,none,Mon Oct 26 2020 13:34:53 GMT-0400 (EDT),0.0,True
wbea1096,3,action,Mon Oct 26 2020 12:53:12 GMT-0600 (Mountain Daylight Time),0.0,False
w093eaeb,3,meta,Mon Oct 26 2020 13:48:12 GMT-0400 (Eastern Daylight Time),0.0,True
