wid,button_pressed,stimulus,view_history,responses,correct,questions,trial_time,block,delays,trial_index,score,key_press,clicks,n_clicks,stim_i
w61f58b5,,,,,,,56558.0,training,[],0,14.0,,"[1, 5, 9, 2]",4,0
w61f58b5,,,,,,,19900.0,training,[],1,26.0,,"[1, 2, 5, 9, 10, 11, 12, 6, 7, 8, 4, 3]",12,1
w61f58b5,,,,,,,23629.0,training,[],2,30.0,,"[9, 1, 2, 5, 6, 7, 8, 10, 11, 4, 3, 12]",12,2
w61f58b5,,,,,,,14437.0,training,[],3,42.0,,"[9, 1, 2, 4, 3, 5, 7, 6, 8, 10, 11, 12]",12,3
w61f58b5,,,,,,,13734.0,training,[],4,40.0,,"[9, 10, 11, 4, 2, 1, 3, 7, 6, 5, 8, 12]",12,4
w61f58b5,,,,,,,12998.0,training,[],5,36.0,,"[9, 10, 11, 12, 1, 2, 4, 3, 7, 6, 8, 5]",12,5
w61f58b5,,,,,,,12907.0,training,[],6,38.0,,"[9, 1, 2, 4, 11, 10, 12, 5, 3, 7, 6, 8]",12,6
w61f58b5,,,,,,,10906.0,training,[],7,34.0,,"[9, 10, 11, 12, 1, 2, 4, 3, 7, 6, 8, 5]",12,7
w61f58b5,,,,,,,9957.0,training,[],8,18.0,,"[9, 10, 11, 12, 4, 2, 3, 1, 7, 6, 8, 5]",12,8
w61f58b5,,,,,,,10507.0,training,[],9,32.0,,"[10, 11, 4, 2, 1, 3, 7, 6, 8, 5, 12, 9]",12,9
w6676851,,,,,,,39675.0,training,[],0,53.0,,"[8, 4, 12]",3,10
w6676851,,,,,,,44100.0,training,[],1,18.0,,"[3, 4, 12, 8, 7, 11, 2, 6, 10, 1, 5, 9]",12,11
w6676851,,,,,,,44472.0,training,[],2,56.0,,"[11, 3]",2,12
w6676851,,,,,,,18396.0,training,[],3,34.0,,"[4, 3, 8, 12]",4,13
w6676851,,,,,,,23601.0,training,[],4,12.0,,"[3, 4, 8, 12, 11, 7]",6,14
w6676851,,,,,,,16687.0,training,[],5,33.0,,"[11, 3, 8]",3,15
w6676851,,,,,,,15579.0,training,[],6,40.0,,"[3, 4, 11, 12]",4,16
w6676851,,,,,,,25212.0,training,[],7,24.0,,"[3, 4, 12, 8, 7, 11]",6,8
w6676851,,,,,,,14572.0,training,[],8,40.0,,"[4, 3]",2,17
w6676851,,,,,,,23367.0,training,[],9,54.0,,"[3, 4]",2,18
w481d889,,,,,,,79698.0,training,[42],0,16.0,,[],0,19
w481d889,,,,,,,57924.0,training,[42],1,36.0,,[],0,20
w481d889,,,,,,,18876.0,training,"[0, 0, 0]",2,48.0,,"[7, 8]",2,21
w481d889,,,,,,,11047.0,training,"[0, 0]",3,59.0,,[7],1,22
w481d889,,,,,,,30359.0,training,"[0, 18]",4,27.0,,[8],1,6
w481d889,,,,,,,15028.0,training,"[0, 2, 0]",5,46.0,,"[7, 11]",2,23
w481d889,,,,,,,15359.0,training,"[0, 0, 0, 0]",6,57.0,,"[7, 8, 12]",3,17
w481d889,,,,,,,27514.0,training,"[0, 0, 0, 0, 0, 9]",7,53.0,,"[7, 8, 12, 11, 4]",5,12
w481d889,,,,,,,11999.0,training,"[0, 0, 0]",8,52.0,,"[7, 8]",2,24
w481d889,,,,,,,15099.0,training,"[0, 0, 0, 0, 0]",9,38.0,,"[7, 3, 4, 11]",4,2
w79f70f3,,,,,,,19930.0,training,"[0, 0, 0, 0]",0,45.0,,"[8, 12, 3]",3,25
w79f70f3,,,,,,,16801.0,training,"[0, 0, 0, 0, 0]",1,42.0,,"[7, 11, 4, 3]",4,0
w79f70f3,,,,,,,9729.0,training,"[0, 0, 0]",2,50.0,,"[12, 8]",2,26
w79f70f3,,,,,,,17771.0,training,"[0, 0, 3, 3]",3,37.0,,"[8, 7, 5]",3,27
w79f70f3,,,,,,,9444.0,training,"[0, 0]",4,41.0,,[3],1,7
w79f70f3,,,,,,,10970.0,training,"[0, 0, 0, 0, 0, 0, 0]",5,42.0,,"[7, 8, 3, 4, 11, 12]",6,28
w79f70f3,,,,,,,11945.0,training,"[0, 0, 0, 0, 0]",6,52.0,,"[7, 8, 3, 4]",4,18
w79f70f3,,,,,,,10104.0,training,"[0, 0, 0, 0, 0, 0]",7,33.0,,"[7, 8, 3, 4, 11]",5,29
w79f70f3,,,,,,,20098.0,training,"[0, 0, 0, 0, 0, 0, 4]",8,10.0,,"[8, 12, 11, 3, 7, 4]",6,30
w79f70f3,,,,,,,17301.0,training,"[0, 0, 0, 0]",9,39.0,,"[7, 8, 3]",3,17
w94555d2,,,,,,,13133.0,training,[],0,49.0,,"[1, 2, 3, 5, 6, 7, 8, 12, 10, 11, 9]",11,31
w94555d2,,,,,,,10535.0,training,[],1,36.0,,"[12, 11]",2,29
w94555d2,,,,,,,10224.0,training,[],2,48.0,,"[11, 4, 3, 7, 8, 12]",6,32
w94555d2,,,,,,,10032.0,training,[],3,52.0,,"[11, 4]",2,26
w94555d2,,,,,,,12899.0,training,[],4,14.0,,"[3, 4, 11, 12, 8, 7]",6,33
w94555d2,,,,,,,9919.0,training,[],5,55.0,,[4],1,18
