wid,view_history,time_elapsed,trial_type,rt,responses,questions,correct,button_pressed,stimulus,block,simulation_mode,trial_id,prs,score,rewards,delays,actions,path,queries,trial_time,state_rewards,action_times,trial_index,key_press,restarts
w8864203,,600819,survey-text,142984,"{""Q0"":""It seemed like you would rather make the best short term amount rather than finding the best overall path. I tried to click as little as possible and it seemed to be working out until I used clicks to try and figure out why it was saying I picked the wrong path. Otherwise my tactic was to only reveal the nodes that I had a choice about going to. ""}",,,,,,,,,,,,,,,,,,,,
w8864203,,824435,survey-text,222599,"{""Q0"":""The lesson of this gamed seemed to be to make the best short term decisions rather than looking at the bigger picture. "",""Q1"":""Starting a business, everyone says it is best to just start. You product cannot be perfect in the beginning but you wont get to the end result without starting and getting to know your challenges. "",""Q2"":""Picking the first node to move to would be the start from there you might make a move that will set you back or cost you but in the end you'll arrive at the best solution and outcome and it will be better than where you started. ""}",,,,,,,,,,,,,,,,,,,,
w8864203,,905962,survey-text,80508,"{""Q0"":""Start slowly and pick the least expensive of the first three options and from there narrow down the choices of the single path that starts with the least cost. ""}",,,,,,,,,,,,,,,,,,,,
w8ac756d,,295161,survey-text,22803,"{""Q0"":""Only click the furthest away nodes because those will determine the most rewarding path!""}",,,,,,,,,,,,,,,,,,,,
w8ac756d,,361730,survey-text,65557,"{""Q0"":""Short term sacrifices can lead to long term results."",""Q1"":""Working out is difficult and time consuming, but it leads to better health and lower anxiety!"",""Q2"":""Short term sacrifices for long term gains.""}",,,,,,,,,,,,,,,,,,,,
w8ac756d,,409393,survey-text,46635,"{""Q0"":""Examine the largest expenses first""}",,,,,,,,,,,,,,,,,,,,
wb78f93f,,415441,survey-text,63501,"{""Q0"":""You must focus on the end nodes, and search until you have found the highest value final node.""}",,,,,,,,,,,,,,,,,,,,
wb78f93f,,518101,survey-text,101630,"{""Q0"":""Focus on end goals"",""Q1"":""Saving and investing money."",""Q2"":""Spend small amounts of money in search of valuable investment opportunities.""}",,,,,,,,,,,,,,,,,,,,
wb78f93f,,727650,survey-text,208522,"{""Q0"":""check for the cheapest hotels of the airports which have the shortest routes to reach.""}",,,,,,,,,,,,,,,,,,,,
wb8a5091,,1441704,survey-text,3807,"{""Q0"":""""}",,,,,,,,,,,,,,,,,,,,
wb8a5091,,1444162,survey-text,1428,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",,,,,,,,,,,,,,,,,,,,
wb8a5091,,1446218,survey-text,1027,"{""Q0"":""""}",,,,,,,,,,,,,,,,,,,,
w57d2fb6,,1811788,survey-text,35202,"{""Q0"":""Take the first positive cash flow you can \n""}",,,,,,,,,,,,,,,,,,,,
w57d2fb6,,2191268,survey-text,378465,"{""Q0"":""Observe the first initial step and the costs that they may equate to. For example in Web of Cash you reveal a node and its -2 but you reveal another path and its +2. If you get too greedy you can click another node but lose an additional $1 for a 50/50 chance of it being another decrease in your current cash balance. This is similar to opportunities that will appear in your lifetime. You want to be sure to look at your options but dont get too greedy. "",""Q1"":""This might work well in the real world example of potential jobs. Stay comfortable where I know I am comfortable and on a good bath but it may take a little longer with risks involved"",""Q2"":"". I have the option to look at other jobs or find a part time job for more cash flow. I am comfortable now but choosing either one of those choices could bring me discomfort or good fortune. ""}",,,,,,,,,,,,,,,,,,,,
w57d2fb6,,2245636,survey-text,53351,"{""Q0"":""spend some time looking ahead of time to avoid as much bad fortune that I can \n""}",,,,,,,,,,,,,,,,,,,,
wee86ff6,,875563,survey-text,67072,"{""Q0"":""Through hard work and intelligence one can make oneself perfect and capable.""}",,,,,,,,,,,,,,,,,,,,
wee86ff6,,991194,survey-text,114614,"{""Q0"":""In every step we need to make plan for winning any game."",""Q1"":""I make a decision and that is to follow a perfect plan to be succeeded."",""Q2"":""I think perfect plan can do anything.""}",,,,,,,,,,,,,,,,,,,,
wee86ff6,,1037873,survey-text,45664,"{""Q0"":""I always folly the rules of succeed.""}",,,,,,,,,,,,,,,,,,,,
w97f2d79,,584801,survey-text,61131,"{""Q0"":""click only on the last nodes to see the highest value available.\n""}",,,,,,,,,,,,,,,,,,,,
w97f2d79,,1135631,survey-text,549802,"{""Q0"":""To make sure that even though the best looking option in in the beginning may not be the best long term, always evaluate long term."",""Q1"":""This strategy would work well while making a big decision like what car to buy or where to live."",""Q2"":""It has a big impact long term because a certain car might cost you more on gas and parts while another will be cheaper in the long run. A house affects where you work and where your family is going to grow up and going to good schools,while also making sure other places are accessible. ""}",,,,,,,,,,,,,,,,,,,,
w97f2d79,,1312310,survey-text,175642,"{""Q0"":""To look at long term goals rather than focusing on short term.""}",,,,,,,,,,,,,,,,,,,,
w6285f54,,252885,survey-text,31836,"{""Q0"":""That it's worth it to pay a little more in the beginning to know which path would be best to take. ""}",,,,,,,,,,,,,,,,,,,,
w6285f54,,292057,survey-text,38158,"{""Q0"":""Hard work in the start of a new task or project will pay off in the end as it will create a clearer path."",""Q1"":""Starting a new business"",""Q2"":""There are risks and rewards.""}",,,,,,,,,,,,,,,,,,,,
w6285f54,,363470,survey-text,70363,"{""Q0"":""Do the hard work or time consuming work as it will pay off.""}",,,,,,,,,,,,,,,,,,,,
