wid,view_history,responses,questions,correct,button_pressed,stimulus,block,score,delays,path,trial_time,state_rewards,trial_index,key_press,restarts,clicks,n_clicks,stim_i
w8864203,,,,,,,training,56.0,[],"['0', '1', '2', '3']",56146.0,"['', 2, 8, 48, 24, -2, 4, 24, 24, -2, -4, -48, -24]",0,,,"[5, 9]",2,0
w8864203,,,,,,,training,53.0,[],"['0', '1', '2', '4']",23206.0,"['', 4, 4, -48, 48, -2, 4, -48, -24, -2, -4, -48, 24]",1,,,"[5, 9, 4]",3,1
w8864203,,,,,,,training,41.0,[],"['0', '9', '10', '11']",20350.0,"['', 4, -4, -24, 24, 2, 4, -24, -48, 4, -8, 48, -48]",2,,,"[5, 9, 11]",3,2
w8864203,,,,,,,training,50.0,[],"['0', '5', '6', '8']",15391.0,"['', -2, -4, 48, 24, 2, 4, -48, 48, -4, 4, 48, 24]",3,,,"[5, 1, 9, 7]",4,3
w8864203,,,,,,,training,18.0,[],"['0', '5', '6', '7']",12601.0,"['', -4, -4, -24, 24, 2, -4, 24, -48, -2, 8, -48, -48]",4,,,"[1, 5, 9, 7]",4,4
w8864203,,,,,,,training,18.0,[],"['0', '9', '10', '11']",15662.0,"['', 2, 8, -48, -24, 2, 8, -24, -48, 4, -4, 24, -48]",5,,,"[5, 9, 11, 12, 7, 8]",6,5
w8864203,,,,,,,training,31.0,[],"['0', '1', '2', '4']",32698.0,"['', 4, 8, -24, 24, -2, 4, -24, 48, 2, -8, 24, 48]",6,,,"[1, 5, 9, 4, 3]",5,6
w8864203,,,,,,,training,29.0,[],"['0', '5', '6', '7']",39424.0,"['', 2, 4, 24, -24, 4, 8, 24, -24, 4, 4, 24, 48]",7,,,"[5, 9, 1, 7, 11, 6, 10]",7,7
w8864203,,,,,,,training,19.0,[],"['0', '5', '6', '8']",51581.0,"['', -2, 4, 48, 24, -4, 8, -48, 24, 4, -8, 24, 24]",8,,,"[10, 6, 9, 5, 1, 11, 12, 8, 7]",9,8
w8864203,,,,,,,training,40.0,[],"['0', '9', '10', '11']",11778.0,"['', 2, 8, 24, -24, 2, -8, -24, -24, 4, -8, 48, 48]",9,,,"[1, 5, 9, 11]",4,9
w8ac756d,,,,,,,training,40.0,[],"['0', '5', '6', '8']",26948.0,"['', -4, 8, -24, -48, -4, 8, -48, 48, 4, -8, -24, 48]",0,,,"[1, 2, 3, 4, 9, 10, 11, 12, 5, 6, 7, 8]",12,10
w8ac756d,,,,,,,training,12.0,[],"['0', '9', '10', '11']",24037.0,"['', 2, 8, -48, -24, 2, 8, -24, -48, 4, -4, 24, -48]",1,,,"[1, 2, 4, 3, 9, 10, 11, 12, 5, 6, 7, 8]",12,5
w8ac756d,,,,,,,training,49.0,[],"['0', '9', '10', '12']",9456.0,"['', -4, 4, 24, 24, -2, -4, 48, -24, -4, 8, -48, 48]",2,,,"[9, 10, 12]",3,11
w8ac756d,,,,,,,training,26.0,[],"['0', '9', '10', '12']",22235.0,"['', 4, -8, -48, -48, -4, 4, 24, 24, -2, -8, -24, 48]",3,,,"[9, 10, 11, 12, 5, 6, 8, 7, 1, 2, 4, 3]",12,12
