worker_id,bonus,wid
6109b91605127dcbee798fbb,0.42,w6fb51f0
610894f3f0289ca24a552e8c,0.77,w4b72058
611145ac597b7b98c8351090,1.11,w630bb07
61083b4c8e3138972203125e,1.02,w3e1db45
6109e047624aae12f4bb8e20,0.89,w24096e6
5eb9627ab5aff303451ee427,0.97,w5aeb311
61083f623522116ea15fdc05,1.13,w3f1ec3a
6106fea80bd268497aa1590d,0.98,w05ddadc
61108c76bfe0c650edde817e,1.25,w58b430d
612517df29cd32c6632b4a44,0.69,w27312c7
60fce6c2a812051048ecdfca,1.13,w6ba1288
60fe32d3246004ee415cbe55,1.25,wc53e7b7
6117efedb574017076d5b499,0.4,wee86ff6
60fcc054d2ede4e55d757086,1.26,wd031652
60ffeb88aa6c7fa6f4d385b7,0.62,w4245f43
61252d103b9edeb2ef026830,0.38,wb842775
6111ad4981408d586e569182,1.0,w69d702d
6109a2ad810cf653fdb979a4,0.63,w57729e7
610820673e286e59296a5490,0.74,w61be1aa
60ff5c9c19abe47941efb0f1,1.12,wea48ca2
610aefc141c6a35dd05bb40f,0.44,w1e16d33
610ae2bcbcccbe100a77c9bc,0.43,w9f905bf
61108077464f6e272d1c8797,1.23,wc722738
6105c1ad731a7f2a8943f114,1.12,w6ccc7cc
60ff81a2bde8a0651b7c4d22,0.59,w1e4a59a
61086b04ea6a5f5f43224358,0.58,w56c6462
610843319963b294e9eba8b0,0.58,w42d109a
611152abd2314361c16816a1,0.66,w8078a66
610adf9b83efcc8f2211a38f,0.33,w22c2a52
610b1e83056a8a19d10c0dcf,1.23,w34e779e
60fc4bf4bb3aeb339f9dd56c,1.26,w6cbde93
61173cc45902dc143f5a7e6a,0.45,w4ab7950
6101fe8886db45bee5fba9c2,0.58,w19ea0a7
610d29cf1e216181dd25e244,1.0,w4ae5004
61080266a1a79ad079b105e5,1.17,w6c30085
6107080907bd027ef83d0072,1.09,wbfd2718
61003c4aa611de70062a2f4c,1.04,wcea4856
610000c1d6369f46f00b495c,0.72,w0b659d4
6104de9985df18bb7fcfbf8d,0.53,wd251d8e
610040f62de67e474e0c77e2,1.12,w3fd6574
60ff2a9fbe1d2b063ed7ef09,1.26,wef7fea1
61115b94e6d819b1d14095c2,0.76,w4c0b3b8
6100d9be63f02689ff01e076,0.37,w8f13851
60ff980464a76cca75c616b8,0.47,wd6f959f
60ff14f2cd91aebbbff2c18b,0.39,w01f56bd
61078342b757ebe17dfbb5ad,0.96,w3bff607
611f6b5830df396ad1bc9ad7,0.82,w0c292be
60fdce771ceebe2ff0194869,1.06,wb5da5fe
5ef76d873a9f1847b94514df,0.87,w92467d5
6114ac4045c6be213c8c3b4b,0.52,w49f5eef
610351a3f6c1b632de5d0040,0.69,w29c765e
610a53c380ab903920ed9d15,0.66,w1303cf3
6109e6596c52fa1f853b16c2,0.69,wc9153e1
6111803d29dfc21c24afa64c,1.17,we168815
60f5f8769fc9289a9e518129,1.06,wcb3d9b5
5eceebc642c5003126eba65f,1.1,wbdcee4d
6109977bfa0db5cbb3fdaef5,1.14,w0b41b98
61034ba2ba42f824a6111456,0.65,w3f4b6ff
60886aa78a924587989be1c7,1.27,w554f881
6103123518c3f9fce2388ecf,1.28,w7338271
61099e438a2f56f2770b7cd2,1.08,wec74f3b
60ff8305a1a0703e20f25649,0.83,wa0eee56
612298ea2848e5b22467b63f,0.66,w8447fb1
6101bcb1b6f73b8138d66252,0.38,w2c490da
610c00ff7f4e8afea716ce5e,0.69,wec48b2c
60fcf3152f12586e2660376f,0.71,w8935c90
6109be276d661900eb569dad,1.13,w5d42ffe
5e6ab2301b3275072c71c04b,1.11,w6592502
60fcea7bc267b04626cdcbe1,0.63,w5a32f51
60fe144b072db7b4446d4b58,1.24,w30b13be
60fda09ced8f65b2c92e014f,1.18,wc0bb781
61129309ffa797ba48ee857c,1.25,w28ee001
61035cb1ec7795c71631350c,0.48,w9ad1c78
60ff5f7e22e34d5edbf66c1e,0.77,wfa5ee64
61117f33c4da35b76e5d4c59,0.35,w3b6f0a2
60fddb9ef952e6deba525be4,1.17,wa3e5b79
58820ef3846b830001085942,1.03,wf92274e
61116df79fc4d637c685acfb,0.42,w0c68ee2
61141f40066c1a015b8eb06c,1.17,w59e1ec5
61001a00793e46ae043d05bc,0.71,w6285f54
610c8d920b366db212f6dd89,1.2,w6ae128d
6110c0f10988c4c4afb9db1c,1.25,wd01edb7
61216a4d4ea8920f98b4553b,0.37,wfcc3994
611187bfc08a19a4bc2e04d8,1.13,w5e58adf
60526a872ff703051d4a1415,1.11,w946ad3c
6123963efae9710c609c1307,0.7,w66a9969
61180998c8c625975db28b1d,0.48,w003a275
612597436eff2c3e15310f3f,0.48,w586b83d
60ff2318247d3041dc2c352b,0.71,wfbbc7af
61016fba26e42d1d449f890d,0.52,w1a711c3
611d1a5e94a85f77f560c4c8,0.52,w06e4ae6
612648079fa0866dd2bce10b,1.11,wa64ebd3
610355cebaa7861abd98d3e7,1.09,wb8f7f59
61022ce822449bbadc2dcf1f,1.02,w1a7b267
60fd95a4d59bcac5313f636b,1.18,wbf13d20
60fe0a80796fdce7855cfa96,0.63,wc0ea557
60fcb8dd8973c23767efec22,1.14,w95f8186
61141864d14de0d5a35cdd0a,0.69,w2d19c72
610cdee76b3c8fd8f2702e65,0.86,w2877a34
6107ea7131ff249824249c48,1.15,w9a48b68
61118d6e3d0c006965a07566,0.59,w8a86548
6110b26d2c406e666c7e6413,1.08,wfad098f
6111d686583e8ee907035105,0.52,wff30aa0
60ff0a1d485fc1857d01d2a5,0.92,w7038dd2
60fef709981537d2c0230b67,0.43,w823aa48
6111434935ee221fd14640e8,0.72,wddc4cdf
6109e6edf61c274f2d101c23,1.21,wc947fac
60b4bdd3adee3c7ad3d217e7,0.53,wa9c9e3b
611182c194b59430cb0484d9,0.73,w978b8e3
60ff3b381c6549d4f656fa10,0.98,we0de2d1
610be4e7b4221d3368dca992,0.49,wf918e6d
60fdbbbaa77d40705341b211,1.12,w27a4fd5
610433920ca11c54d0cd1717,1.23,w1da84e5
61006c4980155934192a124f,1.2,w08c4917
610ef9a5cdec3fa83ceaf938,1.18,w2f36b23
60fd89617258b322c92fdd03,1.2,w6387450
60fff5bfe9e5cf2d611738af,0.54,wbce88e9
60fdd77d921a809dbc7ae0ca,0.64,w4f84e2b
5fb7f3297970dd44ef7b0e43,0.72,wa834882
61080a199bd6757bbdd1ddc7,1.06,waa0750e
6125920970fa77232da1e53e,0.74,w1f570c6
6125c324391974c4c912ba10,1.19,wcf370ee
61254ca4ad01161a6e67d783,0.46,w451af5f
610c5a425ca00205417eb456,1.26,wd2a5404
611af2bed96d34b5eccc0723,0.9,wb96e471
6104414e40e740af5395e1e4,1.23,w5fd8bd2
6108573ba47285bf81b506d5,0.63,wa0c3f08
610079dcd1a7a55075b9b266,0.47,wc6ac4e6
5ea21f2368f03612dbab72dd,0.56,w03f201c
61113812a3346d03a44a62ff,0.86,w3726430
61094b53552559e390fae1a4,0.61,web29d8b
61111e1d68f454e26380d10b,1.12,w987d0e2
611f187fb1ad87cdaf84cee2,1.25,w7ad2f68
611d611769a71eb0469ffd6c,1.2,wfb2a0c8
61249416d0e6edd3afbc9917,0.99,wc3f2502
61026cadb23cf6dca7e0c12e,1.03,wd2ee7ad
61006160d104c99cb68f02b1,0.73,we987a03
610975a0f6ad7986be3b4dcc,0.63,w2853514
6100b75556a4589a8c19efe2,1.07,wcd31302
61089458d114c613980264d7,0.71,wf69642c
60f595d5b3b18f3a411e492b,0.61,w763728c
60fe103d662cbf3be4d10bfa,0.38,w2fc93a5
61082c62c80ebcd8e996cf7f,0.28,w230766c
60fee897a8024435bf25bcff,1.17,w3d31c32
6121f0728435ab85e3860b90,0.47,w12c5e45
60fcfc4921e6444e646f5dc3,0.77,w1a79084
61017c82f249ee18efea4097,0.7,w63489a1
6122b77ca210ec11624c779e,1.19,wca92412
610855a98d39ffc23c6710dc,0.89,wa0bd0ef
5f53d5fe6a8b5b71c8bdb5e8,0.41,w596d234
611c6ee9aaa8c72e3e0e984e,1.01,w96d8ce6
60feb2be3bb57f04327c03f4,1.19,wa51e811
60fee52c011e2f9da6284b6d,0.94,wd7db8a2
