pid,bonus,completed,constantTest,startTime
0,1.64,True,True,Sun Dec 22 2019 17:58:25 GMT-0500 (Eastern Standard Time)
1,1.56,True,False,Sun Dec 22 2019 17:28:27 GMT-0500 (Eastern Standard Time)
2,1.94,True,True,Sun Dec 22 2019 16:25:18 GMT-0500 (Eastern Standard Time)
3,1.99,True,True,Sun Dec 22 2019 17:11:45 GMT-0500 (Eastern Standard Time)
4,1.99,True,False,Sun Dec 22 2019 17:51:09 GMT-0500 (Eastern Standard Time)
5,1.42,True,True,Fri Dec 20 2019 22:01:06 GMT-0600 (Central Standard Time)
6,1.53,True,False,Sun Dec 22 2019 15:37:31 GMT-0600 (Central Standard Time)
7,1.76,True,True,Sun Dec 22 2019 18:16:26 GMT-0500 (Eastern Standard Time)
8,0.89,True,True,Sun Dec 22 2019 17:01:26 GMT-0500 (Eastern Standard Time)
9,1.87,True,False,Sun Dec 22 2019 14:09:29 GMT-0800 (Pacific Standard Time)
10,1.65,True,False,Sun Dec 22 2019 17:29:03 GMT-0500 (Eastern Standard Time)
11,0.0,False,False,Sun Dec 22 2019 15:23:50 GMT-0800 (Pacific Standard Time)
12,1.22,True,True,Sun Dec 22 2019 17:13:58 GMT-0500 (Eastern Standard Time)
13,1.66,True,False,Sun Dec 22 2019 16:09:56 GMT-0500 (Eastern Standard Time)
14,1.86,True,True,Sun Dec 22 2019 15:55:52 GMT-0700 (Mountain Standard Time)
15,1.82,True,False,Sun Dec 22 2019 12:57:12 GMT-0900 (Alaska Standard Time)
16,1.88,True,False,Sun Dec 22 2019 14:19:55 GMT-0800 (Pacific Standard Time)
17,1.78,True,False,Sun Dec 22 2019 18:14:49 GMT-0500 (Eastern Standard Time)
18,1.41,True,True,Sun Dec 22 2019 17:21:28 GMT-0500 (Eastern Standard Time)
19,1.86,True,False,Sun Dec 22 2019 16:25:50 GMT-0500 (Eastern Standard Time)
20,1.9,True,False,Sun Dec 22 2019 16:58:18 GMT-0500 (Eastern Standard Time)
21,1.69,True,False,Sun Dec 22 2019 15:19:07 GMT-0600 (Central Standard Time)
22,1.79,True,False,Sun Dec 22 2019 17:01:34 GMT-0500 (Eastern Standard Time)
23,0.0,False,False,Sun Dec 22 2019 17:54:45 GMT-0500 (Eastern Standard Time)
24,1.63,True,False,Sun Dec 22 2019 16:57:45 GMT-0500 (Eastern Standard Time)
25,2.01,True,False,Sun Dec 22 2019 16:10:27 GMT-0500 (Eastern Standard Time)
26,1.81,True,False,Sun Dec 22 2019 17:26:16 GMT-0500 (Eastern Standard Time)
27,1.59,True,False,Sun Dec 22 2019 18:28:27 GMT-0500 (Eastern Standard Time)
28,1.73,True,False,Sun Dec 22 2019 17:10:25 GMT-0500 (Eastern Standard Time)
29,1.63,True,False,Sun Dec 22 2019 17:20:40 GMT-0500 (Eastern Standard Time)
30,0.0,False,True,Sun Dec 22 2019 17:35:46 GMT-0500 (Eastern Standard Time)
31,0.77,True,True,Sun Dec 22 2019 17:17:18 GMT-0500 (Eastern Standard Time)
32,1.16,True,True,Sun Dec 22 2019 15:01:37 GMT-0800 (Pacific Standard Time)
33,1.75,True,False,Sun Dec 22 2019 17:55:50 GMT-0500 (Eastern Standard Time)
34,1.84,True,False,Fri Dec 20 2019 16:51:33 GMT-0700 (Mountain Standard Time)
35,1.87,True,False,Sun Dec 22 2019 14:07:02 GMT-0800 (Pacific Standard Time)
36,0.74,True,True,Sun Dec 22 2019 17:01:27 GMT-0500 (Eastern Standard Time)
37,0.45,True,True,Sun Dec 22 2019 16:01:40 GMT-0600 (Central Standard Time)
38,1.75,True,False,Sun Dec 22 2019 15:18:12 GMT-0600 (Central Standard Time)
39,1.78,True,False,Sun Dec 22 2019 17:33:41 GMT-0500 (Eastern Standard Time)
40,1.96,True,False,Sun Dec 22 2019 14:58:59 GMT-0800 (Pacific Standard Time)
41,1.42,True,True,Sun Dec 22 2019 16:59:43 GMT-0500 (Eastern Standard Time)
42,0.85,True,True,Sun Dec 22 2019 17:11:46 GMT-0500 (Eastern Standard Time)
43,1.89,True,False,Sun Dec 22 2019 15:55:05 GMT-0600 (Central Standard Time)
44,1.8,True,False,Sun Dec 22 2019 13:54:18 GMT-0800 (Pacific Standard Time)
45,1.55,True,True,Sun Dec 22 2019 18:32:55 GMT-0500 (Eastern Standard Time)
46,1.41,True,True,Sun Dec 22 2019 17:18:36 GMT-0500 (Eastern Standard Time)
47,1.96,True,True,Sun Dec 22 2019 16:58:36 GMT-0500 (Eastern Standard Time)
48,1.38,True,False,Sun Dec 22 2019 16:56:02 GMT-0500 (Eastern Standard Time)
49,0.72,True,True,Sun Dec 22 2019 16:56:53 GMT-0500 (Eastern Standard Time)
50,0.54,True,False,Fri Dec 20 2019 15:13:30 GMT-0800 (Pacific Standard Time)
51,0.51,True,True,Sun Dec 22 2019 16:09:12 GMT-0500 (Eastern Standard Time)
