pid,action_times,actions,block,correct,delays,key_press,path,prs,queries,questions,responses,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,view_history
17,,,,,,,,,,,"{""Q0"":""Nothing\n""}",,23975,,,,660982,,,,survey-text,
17,,,,,,,,,,,"{""Q0"":""25"",""Q1"":""Male""}",,10604,,,,1359027,,,,survey-text,
67,,,,,,,,,,,"{""Q0"":""Check the outside nodes to see best choice""}",,17645,,,,225153,,,,survey-text,
67,,,,,,,,,,,"{""Q0"":""25"",""Q1"":""Female""}",,8723,,,,616961,,,,survey-text,
141,,,,,,,,,,,"{""Q0"":""NICE AND GOOD""}",,5861,,,,650980,,,,survey-text,
141,,,,,,,,,,,"{""Q0"":""28"",""Q1"":""Female""}",,7380,,,,953166,,,,survey-text,
88,,,,,,,,,,,"{""Q0"":""I noticed that I could click on more than one node towards the end.""}",,40940,,,,594786,,,,survey-text,
88,,,,,,,,,,,"{""Q0"":""51"",""Q1"":""Female""}",,13000,,,,1084658,,,,survey-text,
80,,,,,,,,,,,"{""Q0"":""When I find the $48, I stop using the inspector. I only click the outermost points and not the inside points because of being forced to wait.""}",,48495,,,,385026,,,,survey-text,
80,,,,,,,,,,,"{""Q0"":""32"",""Q1"":""male""}",,7860,,,,731763,,,,survey-text,
158,,,,,,,,,,,"{""Q0"":""I learned that you only need to click on the outside ones to test and also that you only need to find one positive one and then just start moving to that one. ""}",,56728,,,,384066,,,,survey-text,
158,,,,,,,,,,,"{""Q0"":""25"",""Q1"":""female""}",,11690,,,,824083,,,,survey-text,
193,,,,,,,,,,,"{""Q0"":""No need to inspect additional nodes if $48 node is found.""}",,29116,,,,311327,,,,survey-text,
193,,,,,,,,,,,"{""Q0"":""28"",""Q1"":""Male""}",,7511,,,,621540,,,,survey-text,
25,,,,,,,,,,,"{""Q0"":""INTERESTING""}",,15712,,,,895042,,,,survey-text,
25,,,,,,,,,,,"{""Q0"":""25"",""Q1"":""MALE""}",,30783,,,,1375095,,,,survey-text,
187,,,,,,,,,,,"{""Q0"":""I don't think I learned anything. I am not sure why sometimes I am penalized for not checking a node and sometimes I can do whatever I want with no penalty.""}",,35464,,,,269140,,,,survey-text,
187,,,,,,,,,,,"{""Q0"":""44"",""Q1"":""female""}",,7156,,,,701153,,,,survey-text,
