pid,block,correct,delays,key_press,questions,responses,score,trial_index,trial_time,view_history,clicks,n_clicks,stim_i
18,training,,"[3, 3, 0, 0, 0, 0, 0, 0, 3, 0]",,,,29.0,0,36603.0,,"[9, 5, 11, 12, 4, 3, 7, 8, 6]",9,0
18,training,,"[0, 0, 0, 2, 0]",,,,54.0,1,23450.0,,"[8, 7, 3, 2]",4,1
18,training,,"[0, 0, 0, 0, 0, 0, 0, 3, 0]",,,,28.0,2,19926.0,,"[3, 7, 4, 12, 8, 11, 6, 5]",8,2
18,training,,"[0, 0, 0]",,,,58.0,3,9307.0,,"[8, 7]",2,3
18,training,,"[0, 0, 0, 0, 0, 0, 0]",,,,24.0,4,10345.0,,"[7, 8, 12, 11, 4, 3]",6,4
18,training,,"[0, 0, 0, 0, 0, 0, 0]",,,,48.0,5,9327.0,,"[4, 3, 7, 8, 12, 11]",6,5
18,training,,"[0, 0, 0, 0, 2, 0, 3, 0]",,,,47.0,6,26008.0,,"[4, 7, 3, 11, 8, 6, 10]",7,6
18,training,,"[0, 2, 0]",,,,48.0,7,10934.0,,"[8, 6]",2,7
18,training,,"[0, 0, 0, 0, 0, 3, 0]",,,,32.0,8,17017.0,,"[8, 7, 3, 4, 11, 10]",6,8
18,training,,"[0, 0, 0, 0]",,,,41.0,9,11064.0,,"[8, 12, 11]",3,9
18,test,,"[0, 0]",,,,59.0,10,9995.0,,[12],1,10
18,test,,"[0, 0, 0, 0, 0, 0]",,,,39.0,11,9435.0,,"[12, 11, 3, 7, 8]",5,11
18,test,,"[0, 0, 0, 0, 0]",,,,36.0,12,9855.0,,"[8, 7, 3, 11]",4,12
18,test,,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,17.0,13,14108.0,,"[12, 11, 7, 8, 3, 4, 2]",7,13
18,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,48.0,14,9876.0,,"[12, 11, 4, 3, 7, 8]",6,14
18,test,,"[0, 0, 0, 0, 0, 0]",,,,49.0,15,9671.0,,"[8, 7, 3, 4, 11]",5,15
18,test,,"[0, 0, 0, 0, 0]",,,,56.0,16,10169.0,,"[11, 7, 8, 12]",4,16
18,test,,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,9.0,17,12574.0,,"[12, 8, 7, 3, 11, 4, 6]",7,17
18,test,,"[0, 0, 0]",,,,40.0,18,8739.0,,"[4, 11]",2,18
18,test,,"[0, 0, 0, 0, 0, 0]",,,,47.0,19,9793.0,,"[12, 11, 4, 3, 7]",5,19
18,test,,"[0, 0, 0, 0, 0]",,,,46.0,20,8671.0,,"[7, 11, 4, 3]",4,20
18,test,,"[0, 0, 0]",,,,48.0,21,8739.0,,"[3, 7]",2,21
18,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,24.0,22,9987.0,,"[7, 8, 12, 11, 4, 3]",6,22
18,test,,"[0, 0, 0, 0, 0]",,,,32.0,23,8767.0,,"[4, 11, 12, 8]",4,23
18,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,32.0,24,8788.0,,"[8, 7, 3, 4, 11, 12]",6,24
18,test,,"[0, 0, 0]",,,,40.0,25,9974.0,,"[12, 8]",2,25
18,test,,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,23.0,26,12232.0,,"[8, 7, 3, 4, 11, 12, 6]",7,26
18,test,,"[0, 0]",,,,47.0,27,9682.0,,[12],1,27
18,test,,"[0, 0, 0, 0]",,,,51.0,28,9831.0,,"[12, 8, 7]",3,28
18,test,,"[0, 0, 0, 0, 0, 0]",,,,49.0,29,9376.0,,"[7, 3, 11, 12, 8]",5,29
8,training,,"[3, 0, 0, 15]",,,,19.0,0,47936.0,,"[1, 4, 3]",3,27
8,training,,"[0, 0, 0, 0, 2, 0]",,,,49.0,1,16976.0,,"[7, 8, 12, 11, 4]",5,15
8,training,,"[0, 0, 0, 0, 0]",,,,56.0,2,13809.0,,"[11, 7, 8, 12]",4,10
8,training,,"[0, 0, 3, 0]",,,,49.0,3,13587.0,,"[11, 7, 8]",3,19
8,training,,"[0, 0, 0, 0, 0, 0, 5]",,,,6.0,4,22966.0,,"[11, 7, 8, 12, 3, 4]",6,30
8,training,,"[0, 0, 0, 0, 0, 0, 0]",,,,40.0,5,14997.0,,"[11, 7, 8, 12, 4, 3]",6,31
8,training,,"[0, 0, 0, 3, 0]",,,,44.0,6,13015.0,,"[11, 12, 8, 7]",4,32
8,training,,"[0, 0, 0]",,,,54.0,7,10716.0,,"[11, 12]",2,33
8,training,,"[0, 0, 0, 0]",,,,33.0,8,11147.0,,"[11, 12, 8]",3,23
8,training,,"[0, 0]",,,,53.0,9,8731.0,,[8],1,14
8,test,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,7.0,10,30862.0,,"[11, 7, 8, 12, 4, 3, 2, 6]",8,34
8,test,,"[0, 0, 0, 0, 0]",,,,-4.0,11,20959.0,,"[7, 8, 12, 3]",4,35
8,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,9.0,12,17690.0,,"[11, 7, 12, 8, 4, 3]",6,36
8,test,,"[0, 0, 0]",,,,23.0,13,16977.0,,"[11, 7]",2,37
8,test,,"[0, 0, 0]",,,,-12.0,14,10698.0,,"[11, 7]",2,38
8,test,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,-8.0,15,18024.0,,"[8, 12, 11, 7, 3, 4, 2, 10]",8,39
8,test,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,4.0,16,22561.0,,"[4, 3, 7, 11, 12, 8, 6, 2, 10, 9, 1]",11,40
8,test,,"[0, 0, 0, 0, 0]",,,,16.0,17,19689.0,,"[11, 7, 10, 6]",4,41
8,test,,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,8.0,18,16415.0,,"[11, 7, 8, 12, 3, 4, 2]",7,42
8,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,24.0,19,11796.0,,"[11, 8, 7, 12, 6, 10]",6,43
8,test,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,12.0,20,17124.0,,"[4, 3, 11, 12, 7, 8, 2, 10]",8,44
8,test,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,11.0,21,21459.0,,"[11, 12, 7, 8, 4, 10, 3, 2, 6]",9,45
8,test,,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,-2.0,22,18313.0,,"[12, 7, 8, 11, 4, 3, 10]",7,46
8,test,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,-9.0,23,16598.0,,"[11, 7, 8, 12, 4, 3, 2, 10, 6]",9,47
8,test,,"[0, 0, 0, 0, 0, 0]",,,,20.0,24,14021.0,,"[8, 12, 4, 11, 10]",5,48
8,test,,"[0, 0, 0, 0]",,,,22.0,25,8114.0,,"[12, 7, 6]",3,49
8,test,,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,23.0,26,14494.0,,"[11, 10, 7, 8, 12, 3, 2]",7,50
8,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,-1.0,27,12556.0,,"[11, 7, 8, 12, 3, 2]",6,51
8,test,,"[0, 0, 0, 0, 0]",,,,6.0,28,10290.0,,"[11, 12, 7, 6]",4,52
8,test,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,7.0,29,16539.0,,"[11, 10, 7, 8, 12, 3, 4, 2]",8,53
86,training,,"[3, 0, 0, 2, 0, 0, 7]",,,,24.0,0,38087.0,,"[5, 12, 3, 8, 4, 11]",6,28
86,training,,"[0, 0, 0, 2, 0, 0, 0, 0]",,,,29.0,1,22721.0,,"[8, 3, 4, 6, 7, 12, 11]",7,2
86,training,,"[0, 0, 0, 0, 0, 0, 0]",,,,32.0,2,14031.0,,"[12, 11, 4, 3, 7, 8]",6,0
86,training,,"[0, 0, 0, 0, 0, 0, 0]",,,,16.0,3,14108.0,,"[12, 11, 4, 3, 7, 8]",6,54
86,training,,"[0, 0, 0, 0, 0, 0, 0]",,,,24.0,4,12043.0,,"[8, 7, 3, 4, 11, 12]",6,22
86,training,,"[0, 0, 0, 0]",,,,41.0,5,9757.0,,"[12, 7, 4]",3,11
86,training,,"[0, 0, 0]",,,,46.0,6,9733.0,,"[3, 12]",2,27
86,training,,"[0, 0]",,,,47.0,7,9764.0,,[12],1,55
86,training,,"[0, 0, 0]",,,,56.0,8,8995.0,,"[4, 3]",2,1
86,training,,"[0, 0, 0]",,,,34.0,9,8777.0,,"[7, 8]",2,23
86,test,,"[0, 0, 0, 0]",,,,37.0,10,9816.0,,"[12, 4, 7]",3,56
86,test,,"[0, 0, 0]",,,,50.0,11,8620.0,,"[8, 3]",2,57
86,test,,"[0, 0, 0, 0, 0]",,,,48.0,12,9382.0,,"[4, 3, 7, 8]",4,58
86,test,,"[0, 0, 0]",,,,40.0,13,9868.0,,"[8, 3]",2,59
86,test,,"[0, 0]",,,,37.0,14,9935.0,,[4],1,60
86,test,,"[0, 0]",,,,37.0,15,9810.0,,[12],1,24
86,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,24.0,16,12165.0,,"[12, 4, 11, 7, 8, 3]",6,26
86,test,,"[0, 0, 0]",,,,54.0,17,9440.0,,"[3, 4]",2,61
86,test,,"[0, 0]",,,,43.0,18,8634.0,,[12],1,62
86,test,,"[0, 0, 0, 0, 0]",,,,44.0,19,9309.0,,"[4, 7, 8, 3]",4,63
86,test,,"[0, 0, 0, 0]",,,,45.0,20,8588.0,,"[12, 4, 7]",3,32
86,test,,"[0, 0, 0]",,,,42.0,21,10182.0,,"[3, 11]",2,64
86,test,,"[0, 0, 0, 0, 0]",,,,44.0,22,10575.0,,"[12, 3, 4, 11]",4,65
86,test,,"[0, 0, 0, 0, 0, 0]",,,,37.0,23,11361.0,,"[7, 3, 8, 12, 11]",5,18
86,test,,"[0, 0, 0, 0, 0]",,,,42.0,24,9943.0,,"[4, 11, 8, 3]",4,31
86,test,,"[0, 0]",,,,47.0,25,8505.0,,[3],1,66
86,test,,"[0, 0, 0]",,,,40.0,26,9691.0,,"[4, 7]",2,67
86,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,12.0,27,12001.0,,"[3, 7, 8, 12, 11, 4]",6,13
86,test,,"[0, 0, 0]",,,,40.0,28,8624.0,,"[4, 3]",2,68
86,test,,"[0, 0, 0, 0, 0, 0]",,,,33.0,29,8757.0,,"[3, 7, 8, 12, 11]",5,8
87,training,,"[3, 40]",,,,59.0,0,130385.0,,[1],1,69
87,training,,[42],,,,-30.0,1,328744.0,,[],0,59
87,training,,"[0, 40]",,,,-29.0,2,237900.0,,[8],1,70
87,training,,[42],,,,22.0,3,172165.0,,[],0,54
87,training,,[42],,,,-42.0,4,78679.0,,[],0,8
87,training,,[42],,,,-22.0,5,328661.0,,[],0,30
87,training,,[42],,,,56.0,6,120764.0,,[],0,71
87,training,,"[3, 42]",,,,-61.0,7,132761.0,,[1],1,56
87,training,,[42],,,,-50.0,8,71418.0,,[],0,27
87,training,,[42],,,,-54.0,9,72231.0,,[],0,13
87,test,,[0],,,,54.0,10,8951.0,,[],0,72
87,test,,[0],,,,48.0,11,11040.0,,[],0,32
87,test,,[0],,,,-46.0,12,10026.0,,[],0,14
87,test,,[0],,,,-18.0,13,9288.0,,[],0,22
87,test,,[0],,,,-34.0,14,11005.0,,[],0,3
87,test,,[0],,,,-12.0,15,29181.0,,[],0,28
87,test,,[0],,,,-30.0,16,152978.0,,[],0,16
87,test,,[0],,,,-50.0,17,25150.0,,[],0,26
87,test,,[0],,,,-12.0,18,10065.0,,[],0,23
87,test,,[0],,,,-60.0,19,8414.0,,[],0,73
87,test,,[0],,,,54.0,20,8308.0,,[],0,15
87,test,,[0],,,,-58.0,21,9361.0,,[],0,65
87,test,,[0],,,,-48.0,22,8830.0,,[],0,63
87,test,,[0],,,,-14.0,23,9257.0,,[],0,74
87,test,,[0],,,,-24.0,24,9362.0,,[],0,64
87,test,,[0],,,,-54.0,25,7656.0,,[],0,75
87,test,,[0],,,,24.0,26,9893.0,,[],0,55
87,test,,[0],,,,-14.0,27,11344.0,,[],0,62
87,test,,[0],,,,30.0,28,19694.0,,[],0,33
87,test,,[0],,,,24.0,29,8554.0,,[],0,21
108,training,,"[3, 0, 0, 0, 0, 0, 7]",,,,8.0,0,46443.0,,"[5, 12, 3, 4, 11, 7]",6,0
108,training,,"[0, 0, 0, 0]",,,,47.0,1,11930.0,,"[7, 4, 3]",3,20
108,training,,"[0, 0, 0, 0, 0]",,,,40.0,2,10718.0,,"[11, 3, 7, 4]",4,11
108,training,,"[0, 0, 0, 0, 0, 0, 5]",,,,6.0,3,17974.0,,"[12, 8, 3, 11, 4, 7]",6,30
108,training,,"[0, 0, 0, 0, 0, 0, 0]",,,,24.0,4,12213.0,,"[4, 8, 11, 7, 3, 12]",6,4
108,training,,"[0, 3, 3]",,,,38.0,5,15251.0,,"[11, 9]",2,57
108,training,,"[0, 0]",,,,51.0,6,8955.0,,[12],1,70
108,training,,"[0, 0]",,,,47.0,7,10705.0,,[7],1,32
108,training,,"[0, 0, 0, 0, 0]",,,,52.0,8,10078.0,,"[3, 4, 12, 11]",4,56
108,training,,"[0, 0]",,,,41.0,9,8780.0,,[11],1,71
108,test,,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,-2.0,10,17426.0,,"[7, 11, 4, 3, 12, 8, 10]",7,76
108,test,,"[0, 0]",,,,-11.0,11,10575.0,,[7],1,77
108,test,,"[0, 0]",,,,9.0,12,8429.0,,[4],1,78
108,test,,"[0, 0, 0]",,,,8.0,13,11285.0,,"[11, 7]",2,79
108,test,,"[0, 0, 0]",,,,8.0,14,9941.0,,"[3, 7]",2,80
108,test,,"[0, 0]",,,,19.0,15,10932.0,,[8],1,81
108,test,,"[0, 0, 0]",,,,13.0,16,10631.0,,"[12, 7]",2,82
108,test,,"[0, 0, 0, 0]",,,,7.0,17,11988.0,,"[4, 3, 7]",3,52
108,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,14.0,18,11704.0,,"[7, 11, 12, 3, 4, 8]",6,83
108,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,9.0,19,11149.0,,"[7, 4, 12, 11, 3, 8]",6,84
108,test,,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,-2.0,20,15289.0,,"[7, 11, 12, 3, 4, 8, 10]",7,85
108,test,,"[0, 0]",,,,14.0,21,9742.0,,[11],1,86
108,test,,"[0, 0]",,,,9.0,22,9257.0,,[11],1,87
108,test,,"[0, 0, 0, 0]",,,,17.0,23,8179.0,,"[7, 4, 3]",3,88
108,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,9.0,24,10191.0,,"[8, 11, 3, 7, 4, 12]",6,89
108,test,,"[0, 0, 0, 0]",,,,-3.0,25,10632.0,,"[12, 3, 7]",3,90
108,test,,"[0, 0, 0, 0, 0, 0]",,,,20.0,26,9613.0,,"[7, 11, 4, 12, 3]",5,91
108,test,,"[0, 0, 0]",,,,23.0,27,8592.0,,"[4, 3]",2,92
108,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,-6.0,28,10175.0,,"[8, 11, 12, 3, 4, 7]",6,93
108,test,,"[0, 0, 0, 0]",,,,7.0,29,9081.0,,"[3, 12, 7]",3,94
55,training,,"[3, 3, 3, 0, 3, 3, 0]",,,,50.0,0,46758.0,,"[1, 2, 5, 11, 9, 10]",6,56
55,training,,"[0, 0, 0, 0, 0, 3, 0]",,,,32.0,1,18929.0,,"[8, 7, 3, 4, 11, 12]",6,8
55,training,,"[0, 0, 0, 0, 0, 0, 0]",,,,18.0,2,11908.0,,"[12, 11, 4, 3, 7, 8]",6,95
