wid,button_pressed,stimulus,view_history,responses,questions,correct,delays,score,trial_time,block,trial_index,clicks,n_clicks,stim_i
w530970b,,,,,,,[],18.0,60634.0,training,0,[],0,0
w530970b,,,,,,,[],-50.0,21469.0,training,1,[],0,1
w530970b,,,,,,,[],14.0,59720.0,training,2,"[9, 10, 11, 12]",4,2
w530970b,,,,,,,[],51.0,14782.0,training,3,"[7, 12, 11]",3,3
w530970b,,,,,,,[],34.0,31811.0,training,4,"[4, 7, 8, 11, 12, 3]",6,4
w530970b,,,,,,,[],38.0,9462.0,training,5,"[4, 3, 7, 8, 12, 11]",6,5
w530970b,,,,,,,[],14.0,32306.0,training,6,"[4, 3, 11, 12, 8, 7]",6,6
w530970b,,,,,,,[],48.0,13242.0,training,7,"[4, 3, 7, 8]",4,7
w530970b,,,,,,,[],42.0,10589.0,training,8,"[11, 4, 3, 8, 7, 12]",6,8
w530970b,,,,,,,[],24.0,122146.0,training,9,"[12, 11, 4, 3, 7, 8]",6,9
w8cc7e2e,,,,,,,"[3, 0, 2, 0, 2, 0, 2, 0, 3, 3, 3, 3, 0]",2.0,112683.0,training,0,"[5, 4, 2, 11, 7, 12, 3, 8, 1, 6, 9, 10]",12,10
w8cc7e2e,,,,,,,"[0, 40]",-31.0,70082.0,training,1,[7],1,5
w8cc7e2e,,,,,,,"[0, 18]",33.0,41872.0,training,2,[4],1,11
w8cc7e2e,,,,,,,"[0, 18]",35.0,30112.0,training,3,[11],1,12
w8cc7e2e,,,,,,,"[0, 0, 0, 0, 0, 0, 4]",14.0,41689.0,training,4,"[7, 8, 11, 12, 4, 3]",6,13
w8cc7e2e,,,,,,,"[0, 0, 16]",10.0,32675.0,training,5,"[4, 11]",2,14
w8cc7e2e,,,,,,,"[0, 0, 0, 0, 0, 0, 0]",18.0,21818.0,training,6,"[7, 3, 11, 8, 12, 4]",6,15
w8cc7e2e,,,,,,,"[0, 0, 0, 0, 0]",44.0,17159.0,training,7,"[11, 4, 3, 7]",4,16
w8cc7e2e,,,,,,,"[0, 0, 0, 0, 0, 0, 0, 2]",9.0,26404.0,training,8,"[8, 7, 4, 3, 11, 12, 2]",7,17
w8cc7e2e,,,,,,,"[0, 0]",41.0,9574.0,training,9,[7],1,18
wd03a479,,,,,,,[],24.0,36827.0,training,0,[],0,19
wd03a479,,,,,,,[],-25.0,23960.0,training,1,[9],1,20
wd03a479,,,,,,,[],-25.0,16814.0,training,2,[1],1,21
wd03a479,,,,,,,[],57.0,15072.0,training,3,"[9, 10, 12]",3,22
wd03a479,,,,,,,[],27.0,12592.0,training,4,"[5, 6, 7]",3,23
wd03a479,,,,,,,[],39.0,14707.0,training,5,"[1, 2, 3]",3,24
wd03a479,,,,,,,[],23.0,22075.0,training,6,"[9, 10, 12, 5, 6, 7, 8]",7,25
wd03a479,,,,,,,[],38.0,13346.0,training,7,"[1, 2, 3, 4]",4,12
wd03a479,,,,,,,[],-20.0,37852.0,training,8,"[9, 10, 11, 12, 5, 6, 7, 1]",8,26
wd03a479,,,,,,,[],18.0,17427.0,training,9,"[5, 9, 1, 2, 4, 3]",6,18
wf2b59d9,,,,,,,[],48.0,19440.0,training,0,[],0,27
wf2b59d9,,,,,,,[],-46.0,39986.0,training,1,[],0,28
wf2b59d9,,,,,,,[],24.0,28147.0,training,2,[],0,29
wf2b59d9,,,,,,,[],-46.0,77047.0,training,3,[],0,30
wf2b59d9,,,,,,,[],46.0,21289.0,training,4,[],0,31
wf2b59d9,,,,,,,[],-24.0,57754.0,training,5,[],0,20
wf2b59d9,,,,,,,[],-54.0,98550.0,training,6,[],0,9
wf2b59d9,,,,,,,[],-33.0,27985.0,training,7,"[5, 9, 1]",3,18
wf2b59d9,,,,,,,[],20.0,40532.0,training,8,[],0,32
wf2b59d9,,,,,,,[],-14.0,12336.0,training,9,[],0,33
w5982241,,,,,,,[],-52.0,154604.0,training,0,[],0,34
w5982241,,,,,,,[],23.0,41425.0,training,1,[9],1,29
w5982241,,,,,,,[],43.0,19386.0,training,2,[9],1,5
w5982241,,,,,,,[],-38.0,97799.0,training,3,"[9, 5]",2,35
w5982241,,,,,,,[],52.0,13059.0,training,4,[],0,4
w5982241,,,,,,,[],-48.0,121665.0,training,5,[],0,36
w5982241,,,,,,,[],-41.0,87291.0,training,6,[9],1,16
w5982241,,,,,,,[],-31.0,36523.0,training,7,[5],1,37
w5982241,,,,,,,[],-18.0,97252.0,training,8,[],0,38
w5982241,,,,,,,[],24.0,47895.0,training,9,[],0,39
w3c5887b,,,,,,,"[3, 0, 0, 0, 0, 0, 0, 4]",15.0,215800.0,training,0,"[9, 7, 8, 3, 4, 11, 12]",7,17
w3c5887b,,,,,,,"[0, 0, 0, 0, 0, 0]",33.0,14483.0,training,1,"[7, 8, 3, 4, 11]",5,25
w3c5887b,,,,,,,"[0, 0, 3, 0]",53.0,25638.0,training,2,"[12, 11, 9]",3,40
w3c5887b,,,,,,,"[0, 0, 0, 0, 0, 0]",49.0,17250.0,training,3,"[8, 7, 4, 3, 11]",5,36
w3c5887b,,,,,,,"[0, 0, 0, 0, 0, 0]",39.0,11533.0,training,4,"[4, 3, 7, 8, 12]",5,5
w3c5887b,,,,,,,"[0, 0, 0]",54.0,8269.0,training,5,"[12, 11]",2,41
w3c5887b,,,,,,,"[0, 0, 0, 0, 0]",34.0,11423.0,training,6,"[11, 12, 7, 4]",4,37
w3c5887b,,,,,,,"[0, 0]",53.0,8230.0,training,7,[4],1,42
w3c5887b,,,,,,,"[0, 0, 0, 0, 0]",48.0,17074.0,training,8,"[3, 4, 7, 8]",4,43
w3c5887b,,,,,,,"[0, 0]",53.0,15402.0,training,9,[8],1,23
w14e5729,,,,,,,[],38.0,15218.0,training,0,"[7, 8, 3, 4]",4,22
w14e5729,,,,,,,[],50.0,13494.0,training,1,"[7, 8, 3, 4]",4,31
w14e5729,,,,,,,[],24.0,12858.0,training,2,"[7, 8, 3, 4, 11, 12]",6,44
w14e5729,,,,,,,[],51.0,11013.0,training,3,"[7, 8, 3]",3,27
w14e5729,,,,,,,[],12.0,13033.0,training,4,"[7, 8, 3, 4, 11, 12]",6,45
w14e5729,,,,,,,[],48.0,10468.0,training,5,"[7, 8, 3, 4]",4,40
w14e5729,,,,,,,[],36.0,9970.0,training,6,"[7, 8]",2,14
w14e5729,,,,,,,[],55.0,10943.0,training,7,"[7, 8, 3]",3,33
