wid,train_height,startTime,feedback,bonus,completed
wf1d3235,3,Tue Sep 08 2020 13:04:51 GMT-0500 (Central Daylight Time),action,0.0,True
wbeef7f1,3,Tue Sep 08 2020 13:52:23 GMT-0400 (Eastern Daylight Time),meta,0.0,True
w968b4ff,3,Tue Sep 08 2020 13:54:03 GMT-0400 (Eastern Daylight Time),action,0.0,True
w8d64f90,3,Tue Sep 08 2020 12:20:00 GMT-0500 (Central Daylight Time),meta,0.0,True
wd36f6b3,3,Tue Sep 08 2020 13:49:07 GMT-0400 (Eastern Daylight Time),meta,0.0,False
w92445e2,3,Tue Sep 08 2020 13:55:53 GMT-0400 (Eastern Daylight Time),action,0.0,True
w581a8e6,3,Tue Sep 08 2020 13:53:55 GMT-0400 (Eastern Daylight Time),none,0.0,True
w6b2a4b7,3,Tue Sep 08 2020 12:46:05 GMT-0500 (Central Daylight Time),none,0.0,True
wfc6ba54,3,Tue Sep 08 2020 13:27:54 GMT-0400 (Eastern Daylight Time),meta,0.0,False
w83dbe29,3,Tue Sep 08 2020 14:02:35 GMT-0400 (Eastern Daylight Time),meta,0.0,True
w482ad78,3,Tue Sep 08 2020 11:45:54 GMT-0700 (Pacific Daylight Time),action,0.0,True
w7ca3485,3,Tue Sep 08 2020 13:18:15 GMT-0400 (Eastern Daylight Time),none,0.0,True
wd3d8db5,3,Tue Sep 08 2020 14:01:34 GMT-0400 (Eastern Daylight Time),none,0.0,True
w120014c,3,Tue Sep 08 2020 12:48:24 GMT-0500 (Central Daylight Time),none,0.0,True
wdd4eec4,3,Tue Sep 08 2020 10:41:58 GMT-0700 (PDT),meta,0.0,True
wd3e8a8b,3,Tue Sep 08 2020 14:30:36 GMT-0400 (Eastern Daylight Time),action,0.0,True
w4ea784c,3,Tue Sep 08 2020 10:56:27 GMT-0700 (Pacific Daylight Time),action,0.0,True
wa36e527,3,Tue Sep 08 2020 10:59:47 GMT-0700 (Pacific Daylight Time),meta,0.0,True
wdcd6b7d,3,Tue Sep 08 2020 13:53:11 GMT-0400 (Eastern Daylight Time),action,0.0,True
wc48ae2e,3,Tue Sep 08 2020 13:56:55 GMT-0400 (Eastern Daylight Time),action,0.0,True
w4cfd511,3,Tue Sep 08 2020 13:46:13 GMT-0400 (Eastern Daylight Time),action,0.0,True
w4bbec3f,3,Tue Sep 08 2020 11:01:17 GMT-0700 (Pacific Daylight Time),meta,0.0,True
w99c6091,3,Tue Sep 08 2020 12:48:09 GMT-0500 (Central Daylight Time),action,0.0,True
wc41b585,3,Tue Sep 08 2020 10:53:28 GMT-0700 (Pacific Daylight Time),none,0.0,True
w6c36acd,3,Tue Sep 08 2020 13:37:49 GMT-0500 (Central Daylight Time),action,0.0,True
w286e130,3,Tue Sep 08 2020 13:52:01 GMT-0400 (Eastern Daylight Time),none,0.0,True
w4ba3cc1,3,Tue Sep 08 2020 12:49:37 GMT-0500 (Central Daylight Time),meta,0.0,True
w1cdc3b3,3,Tue Sep 08 2020 11:02:07 GMT-0700 (Pacific Daylight Time),action,0.0,True
w34efc74,3,Tue Sep 08 2020 13:58:26 GMT-0400 (Eastern Daylight Time),action,0.0,True
wf99468b,3,Tue Sep 08 2020 13:52:35 GMT-0400 (Eastern Daylight Time),none,0.0,True
wdb8dfc2,3,Tue Sep 08 2020 13:56:50 GMT-0400 (Eastern Daylight Time),meta,0.0,True
w27ca6f3,3,Tue Sep 08 2020 12:02:40 GMT-0600 (Mountain Daylight Time),action,0.0,True
we5e14b7,3,Tue Sep 08 2020 13:57:28 GMT-0400 (EDT),action,0.0,False
wa0df983,3,Tue Sep 08 2020 10:03:49 GMT-0700 (Pacific Daylight Time),action,0.0,False
w754624c,3,Tue Sep 08 2020 13:50:35 GMT-0400 (Eastern Daylight Time),action,0.0,True
w511fa9b,3,Tue Sep 08 2020 13:56:54 GMT-0400 (Eastern Daylight Time),none,0.0,True
w5d9d313,3,Tue Sep 08 2020 10:54:50 GMT-0700 (Pacific Daylight Time),none,0.0,True
w4acef9f,3,Tue Sep 08 2020 13:47:02 GMT-0400 (Eastern Daylight Time),meta,0.0,True
w01d2bb8,3,Tue Sep 08 2020 13:53:00 GMT-0400 (Eastern Daylight Time),meta,0.0,True
w63f4c32,3,Tue Sep 08 2020 13:48:37 GMT-0400 (Eastern Daylight Time),none,0.0,True
wcc09836,3,Tue Sep 08 2020 13:59:43 GMT-0400 (Eastern Daylight Time),action,0.0,True
w2e9f119,3,Tue Sep 08 2020 10:58:14 GMT-0700 (Pacific Daylight Time),meta,0.0,True
w9bb044f,3,Tue Sep 08 2020 13:50:45 GMT-0400 (Eastern Daylight Time),action,0.0,True
wc6698f6,3,Tue Sep 08 2020 13:41:21 GMT-0400 (Eastern Daylight Time),action,0.0,True
wd7972cc,3,Tue Sep 08 2020 13:45:04 GMT-0400 (Eastern Daylight Time),meta,0.0,True
w82d9de7,3,Tue Sep 08 2020 13:27:32 GMT-0400 (Eastern Daylight Time),action,0.0,True
wa158eca,3,Tue Sep 08 2020 11:37:20 GMT-0600 (Mountain Daylight Time),none,0.0,True
w0be2d12,3,Tue Sep 08 2020 14:03:58 GMT-0400 (Eastern Daylight Time),meta,0.0,True
w41b70d5,3,Tue Sep 08 2020 13:58:02 GMT-0400 (Eastern Daylight Time),action,0.0,True
wb4737a5,3,Tue Sep 08 2020 12:54:20 GMT-0500 (Central Daylight Time),meta,0.0,True
wecf53a3,3,Tue Sep 08 2020 10:43:06 GMT-0700 (PDT),action,0.0,True
w86e4fe8,3,Tue Sep 08 2020 10:56:48 GMT-0700 (PDT),none,0.0,True
w8421b70,3,Tue Sep 08 2020 13:51:06 GMT-0400 (Eastern Daylight Time),meta,0.0,True
w58dea00,3,Tue Sep 08 2020 10:56:57 GMT-0700 (Pacific Daylight Time),meta,0.0,False
wc6f2de8,3,Tue Sep 08 2020 12:55:41 GMT-0500 (Central Daylight Time),meta,0.0,True
wa27927a,3,Tue Sep 08 2020 12:50:33 GMT-0500 (Central Daylight Time),none,0.0,True
wf3b7c91,3,Tue Sep 08 2020 12:43:15 GMT-0500 (Central Daylight Time),none,0.0,True
