wid,button_pressed,stimulus,view_history,responses,questions,correct,delays,score,trial_time,block,trial_index,key_press,clicks,n_clicks,stim_i
w12900a8,,,,,,,[42],42.0,70714.0,training,0,,[],0,0
w12900a8,,,,,,,"[0, 40]",-31.0,60329.0,training,1,,[4],1,1
w12900a8,,,,,,,"[0, 0, 0, 0, 0, 0, 0]",24.0,17371.0,training,2,,"[12, 11, 4, 3, 7, 8]",6,2
w12900a8,,,,,,,"[0, 3, 2, 4]",49.0,25813.0,training,3,,"[12, 11, 7]",3,3
w12900a8,,,,,,,"[0, 0, 0, 0]",45.0,14143.0,training,4,,"[12, 3, 11]",3,4
w12900a8,,,,,,,"[0, 0, 0, 0, 0]",56.0,11798.0,training,5,,"[8, 4, 7, 12]",4,5
w12900a8,,,,,,,"[0, 0, 0, 0, 0]",38.0,9240.0,training,6,,"[8, 11, 3, 4]",4,6
w12900a8,,,,,,,"[0, 0]",43.0,9336.0,training,7,,[12],1,7
w12900a8,,,,,,,"[0, 0, 0, 0, 0, 0, 4]",14.0,30027.0,training,8,,"[4, 12, 8, 11, 7, 3]",6,8
w12900a8,,,,,,,"[0, 0, 0, 0, 0]",56.0,10690.0,training,9,,"[12, 11, 3, 4]",4,9
wb072c6a,,,,,,,[],21.0,16586.0,training,0,,"[9, 1, 5, 6, 7, 8, 12, 10, 11]",9,2
wb072c6a,,,,,,,[],38.0,17502.0,training,1,,"[1, 5, 9, 10, 11, 12, 6, 7, 8, 3, 2, 4]",12,10
wb072c6a,,,,,,,[],32.0,16251.0,training,2,,"[9, 10, 5, 6, 7, 1, 2, 4, 3, 8, 11, 12]",12,11
wb072c6a,,,,,,,[],42.0,11474.0,training,3,,"[9, 10, 11, 12, 5, 6, 7, 8, 1, 2, 3, 4]",12,12
wb072c6a,,,,,,,[],42.0,13000.0,training,4,,"[9, 5, 6, 7, 8, 10, 11, 12, 2, 1, 4, 3]",12,13
wb072c6a,,,,,,,[],26.0,14991.0,training,5,,"[9, 5, 1, 2, 10, 6, 3, 4, 8, 7, 12, 11]",12,14
wb072c6a,,,,,,,[],42.0,11853.0,training,6,,"[1, 9, 6, 5, 7, 8, 2, 3, 4, 11, 10, 12]",12,15
wb072c6a,,,,,,,[],18.0,10827.0,training,7,,"[9, 1, 5, 6, 7, 8, 2, 3, 4, 11, 10, 12]",12,16
wb072c6a,,,,,,,[],46.0,10576.0,training,8,,"[11, 10, 9, 12, 4, 2, 1, 3, 5, 6, 7, 8]",12,17
wb072c6a,,,,,,,[],32.0,15200.0,training,9,,"[4, 1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 11]",12,18
w6658eb1,,,,,,,[],-20.0,15374.0,training,0,,"[9, 1, 5, 6, 10, 2]",6,19
w6658eb1,,,,,,,[],48.0,9630.0,training,1,,"[11, 8, 6, 5]",4,7
w6658eb1,,,,,,,[],36.0,12292.0,training,2,,"[4, 7, 6, 5]",4,20
w6658eb1,,,,,,,[],45.0,9335.0,training,3,,"[11, 10, 9]",3,21
w6658eb1,,,,,,,[],40.0,10466.0,training,4,,"[11, 12, 8, 7, 6, 5]",6,22
w6658eb1,,,,,,,[],46.0,9303.0,training,5,,"[11, 3, 2, 1]",4,10
w6658eb1,,,,,,,[],34.0,9854.0,training,6,,"[3, 4, 11, 12, 9, 10, 7, 8]",8,23
w6658eb1,,,,,,,[],53.0,8552.0,training,7,,"[4, 1, 2]",3,24
w6658eb1,,,,,,,[],20.0,14309.0,training,8,,"[4, 3, 7, 8, 12, 11, 1, 2, 10, 9]",10,25
w6658eb1,,,,,,,[],32.0,14722.0,training,9,,"[4, 11, 10, 9, 12, 7, 8, 3]",8,26
wdb72bf5,,,,,,,"[0, 2, 0, 3, 0, 0, 0, 0, 3, 3, 3, 3, 0]",18.0,57049.0,training,0,,"[4, 2, 3, 1, 7, 8, 12, 11, 10, 6, 9, 5]",12,1
wdb72bf5,,,,,,,"[0, 0, 0, 0, 2, 3, 3, 3, 0, 3, 3, 3, 0]",40.0,36868.0,training,1,,"[4, 3, 7, 8, 12, 11, 2, 1, 10, 6, 5, 9]",12,7
wdb72bf5,,,,,,,"[0, 0, 0, 2, 0]",40.0,13674.0,training,2,,"[4, 3, 12, 8]",4,27
wdb72bf5,,,,,,,"[0, 0, 0, 0, 2, 2, 3, 3, 3, 3, 3, 3, 0]",42.0,38938.0,training,3,,"[4, 3, 7, 8, 11, 12, 6, 10, 1, 2, 5, 9]",12,28
wdb72bf5,,,,,,,"[0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 0]",12.0,39755.0,training,4,,"[4, 11, 12, 7, 8, 3, 10, 6, 2, 1, 5, 9]",12,29
wdb72bf5,,,,,,,"[0, 0, 0, 0, 0]",36.0,9191.0,training,5,,"[4, 12, 7, 11]",4,30
wdb72bf5,,,,,,,"[0, 0, 0, 0]",43.0,10105.0,training,6,,"[4, 11, 3]",3,31
wdb72bf5,,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 2]",22.0,18799.0,training,7,,"[4, 12, 7, 11, 8, 3, 6, 10]",8,25
wdb72bf5,,,,,,,"[0, 0, 2, 2, 2, 2, 3, 3, 3, 3, 0]",48.0,32399.0,training,8,,"[4, 3, 7, 12, 11, 8, 2, 10, 5, 6]",10,32
wdb72bf5,,,,,,,"[0, 0, 0, 0, 2, 3, 3, 3, 3, 3, 0, 0, 0]",42.0,33189.0,training,9,,"[4, 3, 7, 8, 11, 12, 2, 1, 9, 5, 10, 6]",12,33
wb4e449a,,,,,,,"[2, 3, 0, 16]",21.0,67554.0,training,0,,"[6, 5, 3]",3,34
wb4e449a,,,,,,,[42],60.0,56953.0,training,1,,[],0,6
wb4e449a,,,,,,,"[0, 0]",39.0,27580.0,training,2,,[7],1,20
wb4e449a,,,,,,,"[0, 0, 0, 0]",53.0,26664.0,training,3,,"[11, 3, 4]",3,24
wb4e449a,,,,,,,"[0, 0, 0, 0, 11]",8.0,37595.0,training,4,,"[8, 4, 12, 7]",4,35
wb4e449a,,,,,,,"[0, 18]",29.0,53263.0,training,5,,[3],1,36
wb4e449a,,,,,,,"[0, 40]",23.0,66957.0,training,6,,[8],1,18
wb4e449a,,,,,,,"[0, 0, 0, 0, 0, 0]",51.0,32986.0,training,7,,"[11, 7, 3, 4, 12]",5,37
wb4e449a,,,,,,,"[0, 0, 0]",40.0,14925.0,training,8,,"[4, 8]",2,4
wb4e449a,,,,,,,"[0, 0, 0, 0, 0, 0, 0]",44.0,19925.0,training,9,,"[11, 7, 8, 12, 4, 3]",6,10
