wid,time_elapsed,button_pressed,trial_type,stimulus,rt,view_history,responses,correct,questions,trial_time,simulation_mode,trial_id,rewards,block,delays,actions,path,trial_index,state_rewards,queries,score,prs,action_times,key_press
w61f58b5,438732,,survey-text,,124724,,"{""Q0"":""Look at where you will be and what lies there instead of the path you will take to get there."",""Q1"":""I would choose the one with interest rates for the first month. ""}",,,,,,,,,,,,,,,,,
w61f58b5,539939,,survey-text,,100191,,"{""Q0"":""Look at where you will be and what you will have made up instead of the cost that it took you to get there/the path you took to get there."",""Q1"":""Don't be too scared to try something because it might just be better in the end despite how rough it looks to get there."",""Q2"":""The path and reward.""}",,,,,,,,,,,,,,,,,
w61f58b5,573827,,survey-text,,21672,,"{""Q0"":""No, it was very simple to understand."",""Q1"":""Love the survey. Keep it up!""}",,,,,,,,,,,,,,,,,
w6676851,820375,,survey-text,,166330,,"{""Q0"":""Clicking on the final destinations rather than the stops leading to them saves a few dollars."",""Q1"":""I would look at the final destination (the next 19 years) and then choose the path that got me there with the least expense.""}",,,,,,,,,,,,,,,,,
w6676851,1168714,,survey-text,,347271,,"{""Q0"":""It may cost a little to start, but you can minimize the initial investment and still choose a path that will get you to your desired destination."",""Q1"":""If I decide to go back to school I can use this strategy to plan out the cost in dollars and in time so that I can realistically go to school and still manage the financial and practical (day to day activities) I need to continue to do at the same time."",""Q2"":""I'd need to look at the financial and time investments I'd need to make, and that would involve some investment in time, and money if I wanted to get professional counseling to help me plan.  The middle path would be the investment of time and money that it takes to go to school.  The long term investment - the destination - would be the degree I earned.""}",,,,,,,,,,,,,,,,,
w6676851,1259341,,survey-text,,75255,,"{""Q0"":""No, it was all laid out very clearly."",""Q1"":""This was really interesting, and it seems practical too.  Thanks for the opportunity to participate!""}",,,,,,,,,,,,,,,,,
w481d889,672593,,survey-text,,140092,,"{""Q0"":""Look for the destination that is $48.  Stop checking destination when you find that value.  Don't choose the same destination as the previous round."",""Q1"":""I would choose the loan that has the best rate for the next 19 years and make a path towards it.""}",,,,,,,,,,,,,,,,,
w481d889,758981,,survey-text,,85349,,"{""Q0"":""Aim toward long term goals and don't worry as much about the short term."",""Q1"":""Investing"",""Q2"":""Focusing on long term gains as opposed to short term losses.""}",,,,,,,,,,,,,,,,,
w481d889,784660,,survey-text,,7252,,"{""Q0"":""no"",""Q1"":""no""}",,,,,,,,,,,,,,,,,
w79f70f3,466465,,survey-text,,121563,,"{""Q0"":""Click at the end points to see how much the long term commitment would benefit me."",""Q1"":""Look at the interest rate for the long term (next 19 months) and calculate which one would cost the least amount in the long run.""}",,,,,,,,,,,,,,,,,
w79f70f3,612277,,survey-text,,144806,,"{""Q0"":""Always plan for the long term even though there will be short term and mid term pitfalls and consequences its always for the greater good."",""Q1"":""I think a good example would be going to college.  In the short and mid term there will be a lot of downfalls because of all the student loans and lack of a social life but getting a good education will result in getting a better paying job and being well off in the future."",""Q2"":""My end goal was to make money in a career that will always be around (healthcare) so in order to achieve the job I have to take some losses and owe some debt in order to get the right education.""}",,,,,,,,,,,,,,,,,
w79f70f3,666061,,survey-text,,44089,,"{""Q0"":""No, everything was very clear and concise."",""Q1"":""No, it was a fun game.""}",,,,,,,,,,,,,,,,,
w94555d2,299407,,survey-text,,115491,,"{""Q0"":""I tried to click on the destinations only. I was willing to spend a little to learn the most profitable ending. I was willing to take small losses to reach the end goal of a large profit."",""Q1"":""I would have to consider the amount of the rates, my income, and my future plans. Probably the latter one as it is likely I will be paying on a mortgage for a long period of time.""}",,,,,,,,,,,,,,,,,
w94555d2,425410,,survey-text,,124987,,"{""Q0"":""Sometimes you may have to make small sacrifices for the larger gain. Something that seems slightly negative now may pay off in the end,"",""Q1"":""In a job. You may start out at an entry level with lower pay and menial tasks. But if you look at the destination and consider the steps along the way, it could turn out great at the end."",""Q2"":""You may face small, negative things along the way. However, there could be a big pay off at the end.""}",,,,,,,,,,,,,,,,,
w94555d2,441793,,survey-text,,5495,,"{""Q0"":""No"",""Q1"":""No""}",,,,,,,,,,,,,,,,,
w3d8365b,439708,,survey-text,,65844,,"{""Q0"":""Look at the destinations."",""Q1"":""Which ever has the best end result""}",,,,,,,,,,,,,,,,,
w3d8365b,527149,,survey-text,,86424,,"{""Q0"":""Weigh the final consequences first."",""Q1"":""How much time and resources to spend on a business."",""Q2"":""It's a long game without instant results. There can be bumps on the way.""}",,,,,,,,,,,,,,,,,
w3d8365b,557645,,survey-text,,17609,,"{""Q0"":""I wasn't sure which circles were the destinations initially."",""Q1"":""""}",,,,,,,,,,,,,,,,,
wa616224,360020,,survey-text,,52311,,"{""Q0"":""Find the most profitable end goal and accept the risk of getting there. If i find 48$ at the end, I need to realize my biggest possible loss is -16$."",""Q1"":""Id be looking for the better long term price rather than short term.""}",,,,,,,,,,,,,,,,,
wa616224,406501,,survey-text,,45458,,"{""Q0"":""Think about your end goals in life and accept any losses you might take to get there."",""Q1"":""Using the stock market for investing in your future."",""Q2"":""I might take some losses in time and a stock can go down forever. But with a split portfolio and dividends you can make infinite money over time.""}",,,,,,,,,,,,,,,,,
wa616224,419588,,survey-text,,3187,,"{""Q0"":""No"",""Q1"":""""}",,,,,,,,,,,,,,,,,
w3fd7606,496102,,survey-text,,44617,,"{""Q0"":""look at the final destination first to see which has the largest total outcome"",""Q1"":""i would choose the one that has has the most profit in the longterm""}",,,,,,,,,,,,,,,,,
w3fd7606,576623,,survey-text,,79511,,"{""Q0"":""i would explain how the decisions you make have short and longterm effects that you need to consider"",""Q1"":""when deciding to buy things that might seem useful in the moment but are a waste of money in the long run"",""Q2"":""you have to consider the short and longterm effects""}",,,,,,,,,,,,,,,,,
w3fd7606,594886,,survey-text,,6572,,"{""Q0"":""no"",""Q1"":""no""}",,,,,,,,,,,,,,,,,
wdc20064,192137,,survey-text,,27664,,"{""Q0"":""Stop at the first good zone."",""Q1"":""I would choose the best return on my investment.""}",,,,,,,,,,,,,,,,,
wdc20064,258242,,survey-text,,65087,,"{""Q0"":""plan ahead, choose your route and stick to it."",""Q1"":""I guess everything. With a decision and a plan, we can achieve great things. At work i want a promotion so i've looked at how best i can achieve that."",""Q2"":""Well, i can look ahead and say this is what i want, and take a look at the easiest paths forward.""}",,,,,,,,,,,,,,,,,
wdc20064,268879,,survey-text,,3422,,"{""Q0"":""Nope"",""Q1"":""""}",,,,,,,,,,,,,,,,,
wdc3f276,586918,,survey-text,,42156,,"{""Q0"":""Look at the final destination"",""Q1"":""I'd look at the 19 years""}",,,,,,,,,,,,,,,,,
wdc3f276,633233,,survey-text,,45298,,"{""Q0"":""Plan long term"",""Q1"":""Retiring"",""Q2"":""I should decide where I want to go, now.""}",,,,,,,,,,,,,,,,,
wdc3f276,676450,,survey-text,,32511,,"{""Q0"":""Easy after I got the hang of it."",""Q1"":""That was fun and unique. Thank you!""}",,,,,,,,,,,,,,,,,
w40e3389,432646,,survey-text,,58986,,"{""Q0"":""Check the long term consequences first."",""Q1"":""The best option over 19 years, because you don't always know what happens in the middle. ""}",,,,,,,,,,,,,,,,,
w40e3389,758441,,survey-text,,324790,,"{""Q0"":""Look at the long term goals and choose what little things along the way lead to that goal. You're always moving to the next destination, you control where it is and what you get there. "",""Q1"":""Putting more attention and care into routine and healthcare. I am chronically ill, and many days I don't see a future for myself but I have to remember that what I do today to help my body fuels my tomorrow and DOES add up and heal me over time. I will gain rewards from small investments into my own care and well being. "",""Q2"":""You have to consider what sacrifice you're going to make today to make gains later. You have to check in with possible futures and mid-points and make an educated guess about how it's gone before and how much the overall return will be before you start. You have to look at the whole picture (all 10 rounds) as well, an even bigger total accumulation. ""}",,,,,,,,,,,,,,,,,
w40e3389,957207,,survey-text,,174391,,"{""Q0"":""Nope. "",""Q1"":""Very interesting game/ study and made me really think about my own life and lack of goals and ability to make decisions and plan for the future. It looks and sounds so simple when explained this way. I'm curious if this relates best to money-involved outcomes or could a person write out a tree of life decisions like a pro & con list? Anyway, thank you for the opportunity to participate. Best Wishes. ""}",,,,,,,,,,,,,,,,,
w4af49c9,354446,,survey-text,,46431,,"{""Q0"":""Just worry about the end destinations, as they have the highest potential value."",""Q1"":""The next nineteen.""}",,,,,,,,,,,,,,,,,
w4af49c9,441443,,survey-text,,85973,,"{""Q0"":""Think about the long term."",""Q1"":""I couldn't say. Planning ahead isn't really my cup of tea in life. I suppose spending more on a car that will last longer."",""Q2"":""Because it's more beneficial in the long term.""}",,,,,,,,,,,,,,,,,
w4af49c9,462165,,survey-text,,9479,,"{""Q0"":""Nope."",""Q1"":""No.""}",,,,,,,,,,,,,,,,,
wafa08c4,371482,,survey-text,,68211,,"{""Q0"":""Make a good decision. Sometimes you might land on a spot that is taking money from you but you might end up making a good decision by sticking with it and still doing well."",""Q1"":""Pick whichever one works best for you""}",,,,,,,,,,,,,,,,,
wafa08c4,535478,,survey-text,,162983,,"{""Q0"":""You can make bad decisions and good ones, but ultimately it's your choices. "",""Q1"":""The fact that I don't want kids but my parents think I should want them. It's ultimately my choice and if I choose not to have any, it's my own decision. If I end up regretting it later in life, I made the choice to begin with and have to live with it. But I think it is the right choice for me to not have any. "",""Q2"":""No one can tell you where to go but you. You can lead a horse to somewhere good with water, but it doesn't mean they'll drink it just because you want them to. ""}",,,,,,,,,,,,,,,,,
wafa08c4,554718,,survey-text,,6526,,"{""Q0"":""Nope"",""Q1"":""None""}",,,,,,,,,,,,,,,,,
w00afac0,794064,,survey-text,,167845,,"{""Q0"":""If a -48 was found on one side of the flight path then one could assume that +48 is 2 spots underneath, above, or beside that -48 flight spot."",""Q1"":""I would choose the one with the lowest interest rate over time. I would sit down and do the math first. It is safe to assume that the interest rate over the next 19 years would have the most impact on my financial situation overall.""}",,,,,,,,,,,,,,,,,
w00afac0,1007235,,survey-text,,212148,,"{""Q0"":""A little research of your career path can help you maximize your financial output overtime by minimizing costs. You have to spend a little money to make a lot of money. "",""Q1"":""Investing would be a great example, or even choosing a career path by comparing the costs to the potential moneymaking opportunity."",""Q2"":""Investing is similar to this game, because you have to pay for decent information (a broker). This information allows you to make more money than if one was to fly blindly to what they think will make them the most money. The research has to be done to provide the biggest economic gain.""}",,,,,,,,,,,,,,,,,
w00afac0,1024032,,survey-text,,5522,,"{""Q0"":"""",""Q1"":""""}",,,,,,,,,,,,,,,,,
w6ea1325,904657,,survey-text,,135854,,"{""Q0"":""You can remember where the blue circles were before on the game."",""Q1"":""I'm not 100% sure but I would probably choose the next 19 years.""}",,,,,,,,,,,,,,,,,
w6ea1325,1079673,,survey-text,,174011,,"{""Q0"":""I would tell a friend to lay out all the ideas and things that they want to do in life and make a plan."",""Q1"":""Well this would fit in my life right now with deciding on what he want to do for a new job since he just lost his. He need to make decision by forming a plan."",""Q2"":""It's having a broad list of jobs that my husband have to narrow down on what he want to do and where he want to do it.""}",,,,,,,,,,,,,,,,,
w6ea1325,1106257,,survey-text,,17219,,"{""Q0"":""Not to me."",""Q1"":""I actually liked the game.""}",,,,,,,,,,,,,,,,,
w00a5b64,939899,,survey-text,,333172,,"{""Q0"":""Make a few clicks and guess.  At first, I thought on either route a destination opposite a negative cost would it's positive, only later did I realize that wasn't the case.  The final destination value seems to be the most important factor."",""Q1"":""I would want to know what the interest rate for the next 19 years was, then I'd be interested in what the rates for the 1st month and the rest of the year are.""}",,,,,,,,,,,,,,,,,
w00a5b64,1491821,,survey-text,,550893,,"{""Q0"":""Clicks are only a dollar and the final destination is where you get the maximum benefit, so investigate the final destination in life concern yourself less with the path, although a path and destination that does not cost you is also worthwhile."",""Q1"":""Going to school, the expense was great but the rewards do exist and are in the end greater."",""Q2"":""Clicking the final destinations and paths to know the cost is worth it in the end.  But is if you are lucky and find a destination with a positive return on the first few clicks it might just be worth going to that route.""}",,,,,,,,,,,,,,,,,
w00a5b64,1917985,,survey-text,,409028,,"{""Q0"":""The directions were a little confusing, I understood the basics of the game but didn't know that the final destinations were either +/- 48 or +/- 24 and the intermediate paths were single digits."",""Q1"":""I made a mistake on one route where I press the up arrow but meant to press down.""}",,,,,,,,,,,,,,,,,
wa2fd528,281872,,survey-text,,71764,,"{""Q0"":""I checked the profits of destinations at the edges. Then I checked the path and took the most profitable one."",""Q1"":""I would make calculations for all of them. I would choose an interest rate that I would be able to afford and would be able to maintain my costs.""}",,,,,,,,,,,,,,,,,
wa2fd528,351533,,survey-text,,68613,,"{""Q0"":""You should be aware of consequences and not head in blindly to do something."",""Q1"":""Choosing a job that may look good, but may have a negative environment."",""Q2"":""You need to get a good grasp before committing to the decision. ""}",,,,,,,,,,,,,,,,,
wa2fd528,362253,,survey-text,,4010,,"{""Q0"":""No"",""Q1"":""""}",,,,,,,,,,,,,,,,,
w35d67ff,439864,,survey-text,,59783,,"{""Q0"":""Pick the furthest away nodes, as those vary most wildly"",""Q1"":""Look at the next-19-year price""}",,,,,,,,,,,,,,,,,
w35d67ff,514245,,survey-text,,73333,,"{""Q0"":""If the price is relatively cheap for information, spend heavily "",""Q1"":""Pay for credit counseling"",""Q2"":""Buying information about financial outcomes as cost-efficiently as possible ""}",,,,,,,,,,,,,,,,,
w35d67ff,557681,,survey-text,,32195,,"{""Q0"":""Nope"",""Q1"":""Not clear if the pattern of the longest-away flights being the most volatile will persist to the next challenge ""}",,,,,,,,,,,,,,,,,
w6bb907b,459486,,survey-text,,113524,,"{""Q0"":""Click the end destinations to see the good flight plan. "",""Q1"":""I would choose the long term one based on the flight plan.""}",,,,,,,,,,,,,,,,,
w6bb907b,607386,,survey-text,,146871,,"{""Q0"":""Plan for the long term and make that your goal."",""Q1"":""Investing my money."",""Q2"":""It is similar because in the long run it is going to pay off more.""}",,,,,,,,,,,,,,,,,
w6bb907b,626573,,survey-text,,8293,,"{""Q0"":""No"",""Q1"":""No""}",,,,,,,,,,,,,,,,,
w6392fb9,443044,,survey-text,,66729,,"{""Q0"":""Find the best destination first."",""Q1"":""Choose the one that has the best rate for 19 years.""}",,,,,,,,,,,,,,,,,
w6392fb9,489710,,survey-text,,45631,,"{""Q0"":""The final destination should be your goal."",""Q1"":""I'm not sure."",""Q2"":""I\""m not sure.""}",,,,,,,,,,,,,,,,,
