wid,view_history,questions,correct,responses,button_pressed,stimulus,block,trial_time,delays,trial_index,score,key_press,clicks,n_clicks,stim_i
w50241f3,,,,,,,training,25284.0,[],0,10.0,,"[3, 6, 10, 2]",4,0
w50241f3,,,,,,,training,23360.0,[],1,54.0,,"[3, 1]",2,1
w50241f3,,,,,,,training,11926.0,[],2,49.0,,"[8, 7, 6]",3,2
w50241f3,,,,,,,training,19835.0,[],3,45.0,,"[12, 11, 9, 6, 2, 3, 4, 7, 8]",9,3
w50241f3,,,,,,,training,13798.0,[],4,58.0,,"[8, 7]",2,4
w50241f3,,,,,,,training,14073.0,[],5,50.0,,"[4, 3, 7, 8, 12, 9]",6,5
w50241f3,,,,,,,training,10638.0,[],6,45.0,,"[12, 8, 6]",3,6
w50241f3,,,,,,,training,20870.0,[],7,23.0,,"[8, 7, 3, 4, 11, 12, 9]",7,7
w50241f3,,,,,,,training,16892.0,[],8,34.0,,"[4, 3, 7, 8, 12, 11, 10, 6]",8,8
w50241f3,,,,,,,training,20556.0,[],9,43.0,,"[12, 8, 7, 3, 1]",5,9
w6e490e7,,,,,,,training,61388.0,[42],0,14.0,,[],0,10
w6e490e7,,,,,,,training,31929.0,"[2, 0, 15]",1,28.0,,"[2, 3]",2,11
w6e490e7,,,,,,,training,27156.0,"[0, 0, 16]",2,28.0,,"[11, 12]",2,12
w6e490e7,,,,,,,training,22670.0,"[0, 0, 2, 4]",3,51.0,,"[7, 12, 4]",3,13
w6e490e7,,,,,,,training,33257.0,"[0, 0, 0, 3, 11]",4,56.0,,"[8, 4, 7, 6]",4,14
w6e490e7,,,,,,,training,16162.0,"[0, 0, 0, 0, 0, 0]",5,31.0,,"[12, 11, 3, 7, 8]",5,15
w6e490e7,,,,,,,training,12798.0,"[0, 2, 0]",6,56.0,,"[3, 7]",2,16
w6e490e7,,,,,,,training,12586.0,"[0, 2, 0]",7,40.0,,"[4, 8]",2,17
w6e490e7,,,,,,,training,9734.0,"[0, 0, 0, 0]",8,45.0,,"[12, 3, 11]",3,18
w6e490e7,,,,,,,training,23885.0,"[0, 0, 0, 14]",9,23.0,,"[8, 3, 4]",3,19
w19ca3d2,,,,,,,training,25692.0,[],0,40.0,,"[7, 12, 3, 4]",4,20
w19ca3d2,,,,,,,training,20843.0,[],1,20.0,,"[8, 7, 11, 3, 4, 12]",6,21
w19ca3d2,,,,,,,training,15743.0,[],2,37.0,,"[3, 4, 12, 8, 11]",5,8
w19ca3d2,,,,,,,training,12397.0,[],3,34.0,,"[7, 3, 4, 11]",4,22
w19ca3d2,,,,,,,training,42522.0,[],4,23.0,,"[11, 12, 7, 3, 4, 8, 2]",7,12
w19ca3d2,,,,,,,training,73381.0,[],5,38.0,,"[5, 1, 3, 4, 11, 12, 8, 7, 6, 2, 9, 10]",12,23
w19ca3d2,,,,,,,training,10330.0,[],6,55.0,,"[8, 7, 3]",3,24
w19ca3d2,,,,,,,training,10851.0,[],7,34.0,,"[3, 4, 11, 12]",4,25
w19ca3d2,,,,,,,training,9824.0,[],8,50.0,,"[8, 7, 3, 4, 11, 12]",6,5
w19ca3d2,,,,,,,training,9810.0,[],9,54.0,,"[12, 11]",2,26
w1aaea35,,,,,,,training,119960.0,[],0,-39.0,,[6],1,27
w1aaea35,,,,,,,training,10459.0,[],1,44.0,,[],0,28
w1aaea35,,,,,,,training,44912.0,[],2,12.0,,[],0,29
w1aaea35,,,,,,,training,13808.0,[],3,18.0,,"[11, 7, 12, 8, 3, 4]",6,30
w1aaea35,,,,,,,training,14710.0,[],4,48.0,,"[4, 3, 7, 8]",4,26
w1aaea35,,,,,,,training,9932.0,[],5,16.0,,"[12, 11, 4, 3, 7, 8]",6,31
w1aaea35,,,,,,,training,17437.0,[],6,36.0,,"[12, 11, 4, 3, 7, 8]",6,32
w1aaea35,,,,,,,training,8696.0,[],7,24.0,,"[12, 11, 4, 3, 7, 8]",6,12
w1aaea35,,,,,,,training,8866.0,[],8,36.0,,"[12, 11, 4, 3, 7, 8]",6,8
w1aaea35,,,,,,,training,19834.0,[],9,38.0,,"[12, 11, 4, 3, 7, 8]",6,11
w37073cc,,,,,,,training,25831.0,[],0,47.0,,[12],1,33
w37073cc,,,,,,,training,20809.0,[],1,21.0,,[3],1,31
w37073cc,,,,,,,training,19908.0,[],2,43.0,,[8],1,20
w37073cc,,,,,,,training,12689.0,[],3,53.0,,[4],1,13
w37073cc,,,,,,,training,13895.0,[],4,17.0,,[11],1,2
w37073cc,,,,,,,training,19198.0,[],5,35.0,,[8],1,34
w37073cc,,,,,,,training,21618.0,[],6,11.0,,[3],1,35
w37073cc,,,,,,,training,14750.0,[],7,-55.0,,[4],1,15
w37073cc,,,,,,,training,12867.0,[],8,21.0,,"[7, 8, 11]",3,30
w37073cc,,,,,,,training,10921.0,[],9,45.0,,[3],1,36
