wid,feedback,train_height,startTime,bonus,completed
w92db7c7,meta,3,Mon Jul 13 2020 08:05:57 GMT-0700 (Pacific Daylight Time),0.0,True
wf2c748a,action,3,Mon Jul 13 2020 13:51:45 GMT-0400 (Eastern Daylight Time),0.0,True
w90e112b,none,3,Mon Jul 13 2020 20:35:52 GMT+0300 (Eastern European Summer Time),0.0,True
wb517cbd,action,3,Mon Jul 13 2020 10:11:05 GMT-0700 (Pacific Daylight Time),0.0,True
wa51fa21,meta,3,Mon Jul 13 2020 08:25:29 GMT-0700 (Pacific Daylight Time),0.0,True
w911dad2,none,3,Mon Jul 13 2020 10:10:39 GMT-0500 (Central Daylight Time),0.0,True
w82645ad,meta,3,Mon Jul 13 2020 11:26:29 GMT-0400 (Eastern Daylight Time),0.0,True
w8eabdd6,action,3,Mon Jul 13 2020 11:01:22 GMT-0400 (Eastern Daylight Time),0.0,True
wf4a8f53,none,3,Mon Jul 13 2020 10:04:02 GMT-0600 (Central Standard Time),0.0,True
w1484ac8,none,3,Mon Jul 13 2020 08:05:05 GMT-0700 (Pacific Daylight Time),0.0,True
wd15d31c,action,3,Mon Jul 13 2020 09:05:37 GMT-0600 (Mountain Daylight Time),0.0,True
w91f1ee9,action,3,Mon Jul 13 2020 10:19:22 GMT-0700 (Pacific Daylight Time),0.0,True
w8d47bcc,action,3,Mon Jul 13 2020 11:26:28 GMT-0400 (Eastern Daylight Time),0.0,True
wee9d90b,action,3,Mon Jul 13 2020 11:09:31 GMT-0400 (Eastern Daylight Time),0.0,True
w4c5ced3,action,3,Mon Jul 13 2020 10:03:17 GMT-0700 (Pacific Daylight Time),0.0,False
w2b95138,none,3,Mon Jul 13 2020 10:17:32 GMT-0500 (Central Daylight Time),0.0,True
wbdb0bae,meta,3,Mon Jul 13 2020 09:41:48 GMT-0700 (Pacific Daylight Time),0.0,True
w4e2bdca,meta,3,Mon Jul 13 2020 09:33:05 GMT-0700 (Pacific Daylight Time),0.0,True
w8ecdbbf,meta,3,Mon Jul 13 2020 11:46:55 GMT-0400 (Eastern Daylight Time),0.0,True
w4a52150,none,3,Mon Jul 13 2020 11:43:27 GMT-0500 (Central Daylight Time),0.0,True
w3bcd128,action,3,Mon Jul 13 2020 09:20:28 GMT-0700 (Pacific Daylight Time),0.0,True
web7023c,none,3,Mon Jul 13 2020 10:58:06 GMT-0400 (Eastern Daylight Time),0.0,True
we997587,none,3,Mon Jul 13 2020 08:41:40 GMT-0700 (Pacific Daylight Time),0.0,True
w5ec2cd8,meta,3,Mon Jul 13 2020 10:58:21 GMT-0400 (Eastern Daylight Time),0.0,True
w85fd61f,action,3,Mon Jul 13 2020 11:30:42 GMT-0500 (Central Daylight Time),0.0,False
wcd00080,action,3,Mon Jul 13 2020 10:58:12 GMT-0400 (Eastern Daylight Time),0.0,True
wed54a86,none,3,Mon Jul 13 2020 08:57:40 GMT-0700 (Mountain Standard Time),0.0,True
w77db771,meta,3,Mon Jul 13 2020 11:54:32 GMT-0500 (Central Daylight Time),0.0,True
w333e5db,meta,3,Mon Jul 13 2020 12:29:17 GMT-0500 (Central Daylight Time),0.0,True
