wid,stimulus,button_pressed,view_history,responses,correct,questions,score,trial_index,block,trial_time,delays,clicks,n_clicks,stim_i
web7023c,,,,,,,36.0,0,training,16225.0,[],"[7, 8, 12, 11]",4,0
web7023c,,,,,,,34.0,1,training,9741.0,[],"[11, 12]",2,1
web7023c,,,,,,,53.0,2,training,8304.0,[],[8],1,2
web7023c,,,,,,,40.0,3,training,9509.0,[],"[12, 11]",2,3
web7023c,,,,,,,55.0,4,training,9137.0,[],[11],1,4
web7023c,,,,,,,24.0,5,training,9995.0,[],"[11, 4, 3, 7, 8, 12]",6,5
web7023c,,,,,,,45.0,6,training,8286.0,[],"[11, 12, 8]",3,6
web7023c,,,,,,,43.0,7,training,8182.0,[],[11],1,7
web7023c,,,,,,,49.0,8,training,9103.0,[],[8],1,8
web7023c,,,,,,,28.0,9,training,9433.0,[],"[11, 12]",2,9
wcd00080,,,,,,,34.0,0,training,10379.0,[],"[7, 8]",2,10
wcd00080,,,,,,,46.0,1,training,10485.0,[],"[10, 12]",2,11
wcd00080,,,,,,,13.0,2,training,9543.0,[],[7],1,12
wcd00080,,,,,,,35.0,3,training,28721.0,[],"[2, 3, 4, 1, 7]",5,4
wcd00080,,,,,,,50.0,4,training,10913.0,[],"[11, 12]",2,13
wcd00080,,,,,,,17.0,5,training,10514.0,[],"[8, 7, 3, 4, 11]",5,14
wcd00080,,,,,,,36.0,6,training,12570.0,[],"[7, 12]",2,15
wcd00080,,,,,,,51.0,7,training,12224.0,[],"[7, 8, 3, 4, 11, 12, 9, 10, 2]",9,16
wcd00080,,,,,,,45.0,8,training,8386.0,[],"[7, 5, 6]",3,6
wcd00080,,,,,,,39.0,9,training,10753.0,[],"[3, 4, 11, 10, 9]",5,17
w5ec2cd8,,,,,,,49.0,0,training,58149.0,"[3, 2, 0, 37]","[5, 8, 11]",3,13
w5ec2cd8,,,,,,,-30.0,1,training,65069.0,[42],[],0,9
w5ec2cd8,,,,,,,29.0,2,training,59058.0,"[0, 40]",[3],1,18
w5ec2cd8,,,,,,,-16.0,3,training,10564.0,"[0, 0, 0, 2, 0]","[7, 4, 8, 12]",4,19
w5ec2cd8,,,,,,,36.0,4,training,12713.0,"[0, 3, 0]","[7, 8]",2,20
